Section,Township,Township Direction,Range,Range Direction,Baseline,Easting,Northing,API,Conc
12,3,2,5,2,2,550349.4078,4453167.912,4301353928,1232522
12,3,2,5,2,2,550349.4078,4453167.912,4301353928,1232522
12,3,2,5,2,2,551144.9383,4453172.914,4301353928,1232522
12,3,2,5,2,2,551949.5061,4453176.874,4301353928,1232522
12,3,2,5,2,2,551949.5061,4453176.874,4301353928,1232522
12,3,2,5,2,2,551949.5061,4453176.874,4301353928,1232522
12,3,2,5,2,2,551949.5061,4453176.874,4301353928,1232522
12,3,2,5,2,2,551950.8651,4453984.675,4301353928,1232522
12,3,2,5,2,2,551957.6353,4454786.758,4301353928,1232522
12,3,2,5,2,2,551957.6353,4454786.758,4301353928,1232522
12,3,2,5,2,2,551957.6353,4454786.758,4301353928,1232522
12,3,2,5,2,2,551957.6353,4454786.758,4301353928,1232522
12,3,2,5,2,2,551158.8596,4454785.213,4301353928,1232522
12,3,2,5,2,2,550356.9783,4454786.908,4301353928,1232522
12,3,2,5,2,2,550356.9783,4454786.908,4301353928,1232522
12,3,2,5,2,2,550356.9783,4454786.908,4301353928,1232522
12,3,2,5,2,2,550356.9783,4454786.908,4301353928,1232522
12,3,2,5,2,2,550356.1201,4453978.533,4301353928,1232522
12,3,2,5,2,2,550349.4035,4453167.911,4301353928,1232522
12,3,2,5,2,2,550349.4035,4453167.911,4301353928,1232522
27,2,2,4,2,2,556808.1674,4458096.978,4301354124,2722422
27,2,2,4,2,2,556808.1674,4458096.978,4301354124,2722422
27,2,2,4,2,2,557610.4613,4458089.91,4301354124,2722422
27,2,2,4,2,2,558422.1081,4458099.268,4301354124,2722422
27,2,2,4,2,2,558422.1081,4458099.268,4301354124,2722422
27,2,2,4,2,2,558422.1081,4458099.268,4301354124,2722422
27,2,2,4,2,2,558422.1081,4458099.268,4301354124,2722422
27,2,2,4,2,2,558419.1143,4458895.031,4301354124,2722422
27,2,2,4,2,2,558414.9479,4459699.692,4301354124,2722422
27,2,2,4,2,2,558414.9479,4459699.692,4301354124,2722422
27,2,2,4,2,2,558414.9479,4459699.692,4301354124,2722422
27,2,2,4,2,2,558414.9479,4459699.692,4301354124,2722422
27,2,2,4,2,2,557615.6627,4459703.071,4301354124,2722422
27,2,2,4,2,2,556816.3288,4459706.439,4301354124,2722422
27,2,2,4,2,2,556816.3288,4459706.439,4301354124,2722422
27,2,2,4,2,2,556816.3288,4459706.439,4301354124,2722422
27,2,2,4,2,2,556816.3288,4459706.439,4301354124,2722422
27,2,2,4,2,2,556809.7995,4458901.467,4301354124,2722422
27,2,2,4,2,2,556808.1728,4458096.818,4301354124,2722422
27,2,2,4,2,2,556808.1728,4458096.818,4301354124,2722422
3,8,2,20,1,1,613791.7244,4444645.235,4304756038,3822011
