,Section,Township,Township Direction,Range,Range Direction,Baseline,Side,Length,Degrees,Minutes,Seconds,Alignment,Concatenation,North Reference,Northing,Easting,API,Quadrant,FNSL Value,FNSL Direction,FEWL Value,FEWL Direction
0,17,3,2,1,1,2,West-Up2,0,0.0,0,0,0,1732112West-Up2,True,593225.4058361829,4452331.513312608,4304755316,SWSE,481,FSL,1971,FEL
1,17,3,2,1,1,2,West-Up1,2641.31,1.0,3,8,4,1732112West-Up1,True,593225.4058361829,4452331.513312608,4304755316,SWSE,481,FSL,1971,FEL
2,17,3,2,1,1,2,West-Down1,2648.34,0.0,58,13,1,1732112West-Down1,True,593225.4058361829,4452331.513312608,4304755316,SWSE,481,FSL,1971,FEL
3,17,3,2,1,1,2,West-Down2,0,0.0,0,0,0,1732112West-Down2,True,593225.4058361829,4452331.513312608,4304755316,SWSE,481,FSL,1971,FEL
4,17,3,2,1,1,2,East-Up2,0,0.0,0,0,0,1732112East-Up2,True,593225.4058361829,4452331.513312608,4304755316,SWSE,481,FSL,1971,FEL
5,17,3,2,1,1,2,East-Up1,2660.83,1.0,19,4,4,1732112East-Up1,True,593225.4058361829,4452331.513312608,4304755316,SWSE,481,FSL,1971,FEL
6,17,3,2,1,1,2,East-Down1,2627.99,0.0,46,26,4,1732112East-Down1,True,593225.4058361829,4452331.513312608,4304755316,SWSE,481,FSL,1971,FEL
7,17,3,2,1,1,2,East-Down2,0,0.0,0,0,0,1732112East-Down2,True,593225.4058361829,4452331.513312608,4304755316,SWSE,481,FSL,1971,FEL
8,17,3,2,1,1,2,North-Left2,0,0.0,0,0,0,1732112North-Left2,True,593225.4058361829,4452331.513312608,4304755316,SWSE,481,FSL,1971,FEL
9,17,3,2,1,1,2,North-Left1,2629.45,89.0,10,57,2,1732112North-Left1,True,593225.4058361829,4452331.513312608,4304755316,SWSE,481,FSL,1971,FEL
10,17,3,2,1,1,2,North-Right1,2638.69,89.0,10,0,2,1732112North-Right1,True,593225.4058361829,4452331.513312608,4304755316,SWSE,481,FSL,1971,FEL
11,17,3,2,1,1,2,North-Right2,0,0.0,0,0,0,1732112North-Right2,True,593225.4058361829,4452331.513312608,4304755316,SWSE,481,FSL,1971,FEL
12,17,3,2,1,1,2,South-Left2,0,0.0,0,0,0,1732112South-Left2,True,593225.4058361829,4452331.513312608,4304755316,SWSE,481,FSL,1971,FEL
13,17,3,2,1,1,2,South-Left1,2637.42,88.0,58,55,2,1732112South-Left1,True,593225.4058361829,4452331.513312608,4304755316,SWSE,481,FSL,1971,FEL
14,17,3,2,1,1,2,South-Right1,2634.09,89.0,20,54,2,1732112South-Right1,True,593225.4058361829,4452331.513312608,4304755316,SWSE,481,FSL,1971,FEL
15,17,3,2,1,1,2,South-Right2,0,0.0,0,0,0,1732112South-Right2,True,593225.4058361829,4452331.513312608,4304755316,SWSE,481,FSL,1971,FEL
16,29,3,2,1,1,2,West-Up2,0,0.0,0,0,0,2932112West-Up2,True,593225.4058361829,4452331.513312608,4304755316,SESW,330,FSL,1980,FWL
17,29,3,2,1,1,2,West-Up1,5258.11,0.0,50,14,4,2932112West-Up1,True,593225.4058361829,4452331.513312608,4304755316,SESW,330,FSL,1980,FWL
18,29,3,2,1,1,2,West-Down1,0,0.0,0,0,0,2932112West-Down1,True,593225.4058361829,4452331.513312608,4304755316,SESW,330,FSL,1980,FWL
19,29,3,2,1,1,2,West-Down2,0,0.0,0,0,0,2932112West-Down2,True,593225.4058361829,4452331.513312608,4304755316,SESW,330,FSL,1980,FWL
20,29,3,2,1,1,2,East-Up2,0,0.0,0,0,0,2932112East-Up2,True,593225.4058361829,4452331.513312608,4304755316,SESW,330,FSL,1980,FWL
21,29,3,2,1,1,2,East-Up1,5273.87,1.0,7,31,1,2932112East-Up1,True,593225.4058361829,4452331.513312608,4304755316,SESW,330,FSL,1980,FWL
22,29,3,2,1,1,2,East-Down1,0,0.0,0,0,0,2932112East-Down1,True,593225.4058361829,4452331.513312608,4304755316,SESW,330,FSL,1980,FWL
23,29,3,2,1,1,2,East-Down2,0,0.0,0,0,0,2932112East-Down2,True,593225.4058361829,4452331.513312608,4304755316,SESW,330,FSL,1980,FWL
24,29,3,2,1,1,2,North-Left2,0,0.0,0,0,0,2932112North-Left2,True,593225.4058361829,4452331.513312608,4304755316,SESW,330,FSL,1980,FWL
25,29,3,2,1,1,2,North-Left1,5229,88.0,53,13,2,2932112North-Left1,True,593225.4058361829,4452331.513312608,4304755316,SESW,330,FSL,1980,FWL
26,29,3,2,1,1,2,North-Right1,0,0.0,0,0,0,2932112North-Right1,True,593225.4058361829,4452331.513312608,4304755316,SESW,330,FSL,1980,FWL
27,29,3,2,1,1,2,North-Right2,0,0.0,0,0,0,2932112North-Right2,True,593225.4058361829,4452331.513312608,4304755316,SESW,330,FSL,1980,FWL
28,29,3,2,1,1,2,South-Left2,0,0.0,0,0,0,2932112South-Left2,True,593225.4058361829,4452331.513312608,4304755316,SESW,330,FSL,1980,FWL
29,29,3,2,1,1,2,South-Left1,5255.8,89.0,3,34,2,2932112South-Left1,True,593225.4058361829,4452331.513312608,4304755316,SESW,330,FSL,1980,FWL
30,29,3,2,1,1,2,South-Right1,0,0.0,0,0,0,2932112South-Right1,True,593225.4058361829,4452331.513312608,4304755316,SESW,330,FSL,1980,FWL
31,29,3,2,1,1,2,South-Right2,0,0.0,0,0,0,2932112South-Right2,True,593225.4058361829,4452331.513312608,4304755316,SESW,330,FSL,1980,FWL
32,16,7,2,22,1,1,West-Up2,0,0.0,0,0,0,16722211West-Up2,True,632781.886476891,4451584.305275606,4304755661,NWSE,1465,FSL,2347,FEL
33,16,7,2,22,1,1,West-Up1,2640.81,0.0,23,10,4,16722211West-Up1,True,632781.886476891,4451584.305275606,4304755661,NWSE,1465,FSL,2347,FEL
34,16,7,2,22,1,1,West-Down1,None,2640.43,0,24,36,16722211West-Down1,True,632781.886476891,4451584.305275606,4304755661,NWSE,1465,FSL,2347,FEL
35,16,7,2,22,1,1,West-Down2,None,0.0,0,0,0,16722211West-Down2,True,632781.886476891,4451584.305275606,4304755661,NWSE,1465,FSL,2347,FEL
36,16,7,2,22,1,1,East-Up2,0,0.0,0,0,0,16722211East-Up2,True,632781.886476891,4451584.305275606,4304755661,NWSE,1465,FSL,2347,FEL
37,16,7,2,22,1,1,East-Up1,2641.61,0.0,24,55,4,16722211East-Up1,True,632781.886476891,4451584.305275606,4304755661,NWSE,1465,FSL,2347,FEL
38,16,7,2,22,1,1,East-Down1,None,2641.25,0,24,55,16722211East-Down1,True,632781.886476891,4451584.305275606,4304755661,NWSE,1465,FSL,2347,FEL
39,16,7,2,22,1,1,East-Down2,None,0.0,0,0,0,16722211East-Down2,True,632781.886476891,4451584.305275606,4304755661,NWSE,1465,FSL,2347,FEL
40,16,7,2,22,1,1,North-Left2,0,0.0,0,0,0,16722211North-Left2,True,632781.886476891,4451584.305275606,4304755661,NWSE,1465,FSL,2347,FEL
41,16,7,2,22,1,1,North-Left1,2645.71,89.0,36,18,3,16722211North-Left1,True,632781.886476891,4451584.305275606,4304755661,NWSE,1465,FSL,2347,FEL
42,16,7,2,22,1,1,North-Right1,2645.96,89.0,36,14,3,16722211North-Right1,True,632781.886476891,4451584.305275606,4304755661,NWSE,1465,FSL,2347,FEL
43,16,7,2,22,1,1,North-Right2,0,0.0,0,0,0,16722211North-Right2,True,632781.886476891,4451584.305275606,4304755661,NWSE,1465,FSL,2347,FEL
44,16,7,2,22,1,1,South-Left2,0,0.0,0,0,0,16722211South-Left2,True,632781.886476891,4451584.305275606,4304755661,NWSE,1465,FSL,2347,FEL
45,16,7,2,22,1,1,South-Left1,2648.06,89.0,38,47,3,16722211South-Left1,True,632781.886476891,4451584.305275606,4304755661,NWSE,1465,FSL,2347,FEL
46,16,7,2,22,1,1,South-Right1,2645.21,89.0,35,51,3,16722211South-Right1,True,632781.886476891,4451584.305275606,4304755661,NWSE,1465,FSL,2347,FEL
47,16,7,2,22,1,1,South-Right2,0,0.0,0,0,0,16722211South-Right2,True,632781.886476891,4451584.305275606,4304755661,NWSE,1465,FSL,2347,FEL
48,24,3,2,1,2,2,West-Up2,0,0.0,0,0,0,2432122West-Up2,True,590292.0087674414,4450595.026927982,4304755750,SESE,191,FSL,1116,FEL
49,24,3,2,1,2,2,West-Up1,2616.23,0.0,4,26,2,2432122West-Up1,True,590292.0087674414,4450595.026927982,4304755750,SESE,191,FSL,1116,FEL
50,24,3,2,1,2,2,West-Down1,2644.08,0.0,5,26,4,2432122West-Down1,True,590292.0087674414,4450595.026927982,4304755750,SESE,191,FSL,1116,FEL
51,24,3,2,1,2,2,West-Down2,0,0.0,0,0,0,2432122West-Down2,True,590292.0087674414,4450595.026927982,4304755750,SESE,191,FSL,1116,FEL
52,24,3,2,1,2,2,East-Up2,0,0.0,0,0,0,2432122East-Up2,True,590292.0087674414,4450595.026927982,4304755750,SESE,191,FSL,1116,FEL
53,24,3,2,1,2,2,East-Up1,2641.75,0.0,2,22,4,2432122East-Up1,True,590292.0087674414,4450595.026927982,4304755750,SESE,191,FSL,1116,FEL
54,24,3,2,1,2,2,East-Down1,2629.59,0.0,7,30,4,2432122East-Down1,True,590292.0087674414,4450595.026927982,4304755750,SESE,191,FSL,1116,FEL
55,24,3,2,1,2,2,East-Down2,0,0.0,0,0,0,2432122East-Down2,True,590292.0087674414,4450595.026927982,4304755750,SESE,191,FSL,1116,FEL
56,24,3,2,1,2,2,North-Left2,1320.19,89.0,44,10,1,2432122North-Left2,True,590292.0087674414,4450595.026927982,4304755750,SESE,191,FSL,1116,FEL
57,24,3,2,1,2,2,North-Left1,1320.14,89.0,49,37,2,2432122North-Left1,True,590292.0087674414,4450595.026927982,4304755750,SESE,191,FSL,1116,FEL
58,24,3,2,1,2,2,North-Right1,1320.53,89.0,52,7,2,2432122North-Right1,True,590292.0087674414,4450595.026927982,4304755750,SESE,191,FSL,1116,FEL
59,24,3,2,1,2,2,North-Right2,1320.53,89.0,52,7,2,2432122North-Right2,True,590292.0087674414,4450595.026927982,4304755750,SESE,191,FSL,1116,FEL
60,24,3,2,1,2,2,South-Left2,0,0.0,0,0,0,2432122South-Left2,True,590292.0087674414,4450595.026927982,4304755750,SESE,191,FSL,1116,FEL
61,24,3,2,1,2,2,South-Left1,2636.51,89.0,56,33,4,2432122South-Left1,True,590292.0087674414,4450595.026927982,4304755750,SESE,191,FSL,1116,FEL
62,24,3,2,1,2,2,South-Right1,2651.64,89.0,54,17,4,2432122South-Right1,True,590292.0087674414,4450595.026927982,4304755750,SESE,191,FSL,1116,FEL
63,24,3,2,1,2,2,South-Right2,0,0.0,0,0,0,2432122South-Right2,True,590292.0087674414,4450595.026927982,4304755750,SESE,191,FSL,1116,FEL
64,25,3,2,1,2,2,West-Up2,1324.32,0.0,11,39,3,2532122West-Up2,True,590292.0087674414,4450595.026927982,4304755750,NENE,335,FNL,664,FEL
65,25,3,2,1,2,2,West-Up1,1325.25,0.0,11,39,3,2532122West-Up1,True,590292.0087674414,4450595.026927982,4304755750,NENE,335,FNL,664,FEL
66,25,3,2,1,2,2,West-Down1,1339,0.0,16,39,3,2532122West-Down1,True,590292.0087674414,4450595.026927982,4304755750,NENE,335,FNL,664,FEL
67,25,3,2,1,2,2,West-Down2,1336.18,0.0,16,37,3,2532122West-Down2,True,590292.0087674414,4450595.026927982,4304755750,NENE,335,FNL,664,FEL
68,25,3,2,1,2,2,East-Up2,1328.26,0.0,15,52,3,2532122East-Up2,True,590292.0087674414,4450595.026927982,4304755750,NENE,335,FNL,664,FEL
69,25,3,2,1,2,2,East-Up1,1322.85,0.0,0,5,3,2532122East-Up1,True,590292.0087674414,4450595.026927982,4304755750,NENE,335,FNL,664,FEL
70,25,3,2,1,2,2,East-Down1,1324.9,0.0,3,36,1,2532122East-Down1,True,590292.0087674414,4450595.026927982,4304755750,NENE,335,FNL,664,FEL
71,25,3,2,1,2,2,East-Down2,1374.7,0.0,2,15,1,2532122East-Down2,True,590292.0087674414,4450595.026927982,4304755750,NENE,335,FNL,664,FEL
72,25,3,2,1,2,2,North-Left2,1317.46,89.0,45,51,4,2532122North-Left2,True,590292.0087674414,4450595.026927982,4304755750,NENE,335,FNL,664,FEL
73,25,3,2,1,2,2,North-Left1,1317.46,89.0,45,51,4,2532122North-Left1,True,590292.0087674414,4450595.026927982,4304755750,NENE,335,FNL,664,FEL
74,25,3,2,1,2,2,North-Right1,1317.46,89.0,45,51,4,2532122North-Right1,True,590292.0087674414,4450595.026927982,4304755750,NENE,335,FNL,664,FEL
75,25,3,2,1,2,2,North-Right2,1317.46,89.0,45,51,4,2532122North-Right2,True,590292.0087674414,4450595.026927982,4304755750,NENE,335,FNL,664,FEL
76,25,3,2,1,2,2,South-Left2,1328.62,89.0,33,48,1,2532122South-Left2,True,590292.0087674414,4450595.026927982,4304755750,NENE,335,FNL,664,FEL
77,25,3,2,1,2,2,South-Left1,1328.62,89.0,33,48,1,2532122South-Left1,True,590292.0087674414,4450595.026927982,4304755750,NENE,335,FNL,664,FEL
78,25,3,2,1,2,2,South-Right1,1315.42,89.0,24,8,1,2532122South-Right1,True,590292.0087674414,4450595.026927982,4304755750,NENE,335,FNL,664,FEL
79,25,3,2,1,2,2,South-Right2,1315.42,89.0,24,8,1,2532122South-Right2,True,590292.0087674414,4450595.026927982,4304755750,NENE,335,FNL,664,FEL
80,36,3,2,1,2,2,West-Up2,1322.11,0.0,4,59,2,3632122West-Up2,True,590292.0087674414,4450595.026927982,4304755750,SESE,330,FSL,658,FEL
81,36,3,2,1,2,2,West-Up1,1322.11,0.0,4,59,2,3632122West-Up1,True,590292.0087674414,4450595.026927982,4304755750,SESE,330,FSL,658,FEL
82,36,3,2,1,2,2,West-Down1,1322.13,0.0,2,57,4,3632122West-Down1,True,590292.0087674414,4450595.026927982,4304755750,SESE,330,FSL,658,FEL
83,36,3,2,1,2,2,West-Down2,1328,0.0,9,32,4,3632122West-Down2,True,590292.0087674414,4450595.026927982,4304755750,SESE,330,FSL,658,FEL
