Section,Township,Township Direction,Range,Range Direction,Baseline,Side,Length,Degrees,Minutes,Seconds,Alignment,Concatenation,North Reference,Northing,Easting,API,Quadrant,FNSL Value,FNSL Direction,FEWL Value,FEWL Direction
19,2,2,2,2,2,West-Up2,1321.33,0,16,17,2,1922222West-Up2,,1922222West-Up2,572670,4460040,,186,186,1191,FEL
19,2,2,2,2,2,West-Up1,1321.33,0,16,17,2,1922222West-Up1,,1922222West-Up1,572670,4460040,,186,186,1191,FEL
19,2,2,2,2,2,West-Down1,1321.31,0,2,32,2,1922222West-Down1,,1922222West-Down1,572670,4460040,,186,186,1191,FEL
19,2,2,2,2,2,West-Down2,1321.31,0,2,32,2,1922222West-Down2,,1922222West-Down2,572670,4460040,,186,186,1191,FEL
19,2,2,2,2,2,East-Up2,1317.09,0,16,54,2,1922222East-Up2,,1922222East-Up2,572670,4460040,,186,186,1191,FEL
19,2,2,2,2,2,East-Up1,1317.09,0,16,54,2,1922222East-Up1,,1922222East-Up1,572670,4460040,,186,186,1191,FEL
19,2,2,2,2,2,East-Down1,1315.385,0,8,20,2,1922222East-Down1,,1922222East-Down1,572670,4460040,,186,186,1191,FEL
19,2,2,2,2,2,East-Down2,1315.385,0,8,20,2,1922222East-Down2,,1922222East-Down2,572670,4460040,,186,186,1191,FEL
19,2,2,2,2,2,North-Left2,1271.695,89,56,37,4,1922222North-Left2,,1922222North-Left2,572670,4460040,,186,186,1191,FEL
19,2,2,2,2,2,North-Left1,1271.695,89,56,37,4,1922222North-Left1,,1922222North-Left1,572670,4460040,,186,186,1191,FEL
19,2,2,2,2,2,North-Right1,1323.415,89,50,16,3,1922222North-Right1,,1922222North-Right1,572670,4460040,,186,186,1191,FEL
19,2,2,2,2,2,North-Right2,1323.415,89,50,16,3,1922222North-Right2,,1922222North-Right2,572670,4460040,,186,186,1191,FEL
19,2,2,2,2,2,South-Left2,1296.3575,89,43,16,3,1922222South-Left2,,1922222South-Left2,572670,4460040,,186,186,1191,FEL
19,2,2,2,2,2,South-Left1,1296.3575,89,43,16,3,1922222South-Left1,,1922222South-Left1,572670,4460040,,186,186,1191,FEL
19,2,2,2,2,2,South-Right1,1296.3575,89,43,16,3,1922222South-Right1,,1922222South-Right1,572670,4460040,,186,186,1191,FEL
19,2,2,2,2,2,South-Right2,1296.3575,89,43,16,3,1922222South-Right2,,1922222South-Right2,572670,4460040,,186,186,1191,FEL
15,9,2,22,1,1,West-Up2,1315.62,0,4,57,4,15922211West-Up2,,15922211West-Up2,633546,4432148,,77,77,170,FWL
15,9,2,22,1,1,West-Up1,1315.62,0,4,57,4,15922211West-Up1,,15922211West-Up1,633546,4432148,,77,77,170,FWL
15,9,2,22,1,1,West-Down1,1330.665,0,2,17,4,15922211West-Down1,,15922211West-Down1,633546,4432148,,77,77,170,FWL
15,9,2,22,1,1,West-Down2,1330.665,0,2,17,4,15922211West-Down2,,15922211West-Down2,633546,4432148,,77,77,170,FWL
15,9,2,22,1,1,East-Up2,1326.745,0,0,12,2,15922211East-Up2,,15922211East-Up2,633546,4432148,,77,77,170,FWL
15,9,2,22,1,1,East-Up1,1326.745,0,0,12,2,15922211East-Up1,,15922211East-Up1,633546,4432148,,77,77,170,FWL
15,9,2,22,1,1,East-Down1,1323.49,0,4,28,4,15922211East-Down1,,15922211East-Down1,633546,4432148,,77,77,170,FWL
15,9,2,22,1,1,East-Down2,1323.49,0,4,28,4,15922211East-Down2,,15922211East-Down2,633546,4432148,,77,77,170,FWL
15,9,2,22,1,1,North-Left2,1319.82,89,50,50,3,15922211North-Left2,,15922211North-Left2,633546,4432148,,77,77,170,FWL
15,9,2,22,1,1,North-Left1,1319.82,89,50,50,3,15922211North-Left1,,15922211North-Left1,633546,4432148,,77,77,170,FWL
15,9,2,22,1,1,North-Right1,1324.585,89,48,31,4,15922211North-Right1,,15922211North-Right1,633546,4432148,,77,77,170,FWL
15,9,2,22,1,1,North-Right2,1324.585,89,48,31,4,15922211North-Right2,,15922211North-Right2,633546,4432148,,77,77,170,FWL
15,9,2,22,1,1,South-Left2,1317.99,89,57,59,4,15922211South-Left2,,15922211South-Left2,633546,4432148,,77,77,170,FWL
15,9,2,22,1,1,South-Left1,1317.99,89,57,59,4,15922211South-Left1,,15922211South-Left1,633546,4432148,,77,77,170,FWL
15,9,2,22,1,1,South-Right1,1325.27,89,48,26,4,15922211South-Right1,,15922211South-Right1,633546,4432148,,77,77,170,FWL
15,9,2,22,1,1,South-Right2,1325.27,89,48,26,4,15922211South-Right2,,15922211South-Right2,633546,4432148,,77,77,170,FWL
17,7,2,20,1,1,West-Up2,0,0,0,0,0,17722011West-Up2,,17722011West-Up2,610640,4451224,,371,371,927,FWL
17,7,2,20,1,1,West-Up1,2654.97,2,2,22,4,17722011West-Up1,,17722011West-Up1,610640,4451224,,371,371,927,FWL
17,7,2,20,1,1,West-Down1,2647.82,1,56,41,4,17722011West-Down1,,17722011West-Down1,610640,4451224,,371,371,927,FWL
17,7,2,20,1,1,West-Down2,0,0,0,0,0,17722011West-Down2,,17722011West-Down2,610640,4451224,,371,371,927,FWL
17,7,2,20,1,1,East-Up2,1320.64,1,48,53,4,17722011East-Up2,,17722011East-Up2,610640,4451224,,371,371,927,FWL
17,7,2,20,1,1,East-Up1,1308.3,1,48,53,4,17722011East-Up1,,17722011East-Up1,610640,4451224,,371,371,927,FWL
17,7,2,20,1,1,East-Down1,1332.57,1,30,29,4,17722011East-Down1,,17722011East-Down1,610640,4451224,,371,371,927,FWL
17,7,2,20,1,1,East-Down2,1286.38,1,41,46,4,17722011East-Down2,,17722011East-Down2,610640,4451224,,371,371,927,FWL
17,7,2,20,1,1,North-Left2,1330.1,88,46,54,4,17722011North-Left2,,17722011North-Left2,610640,4451224,,371,371,927,FWL
17,7,2,20,1,1,North-Left1,1329.86,88,41,47,3,17722011North-Left1,,17722011North-Left1,610640,4451224,,371,371,927,FWL
17,7,2,20,1,1,North-Right1,1330.27,88,39,16,3,17722011North-Right1,,17722011North-Right1,610640,4451224,,371,371,927,FWL
17,7,2,20,1,1,North-Right2,1325.52,88,31,18,3,17722011North-Right2,,17722011North-Right2,610640,4451224,,371,371,927,FWL
