Section,Township,Township Direction,Range,Range Direction,Baseline,Side,Length,Degrees,Minutes,Seconds,Alignment,North Reference,Concatenation,API
16,26,2,20,1,1,West-Up2,0,0,0,0,0,T,162622011West-Up2,4.30195E+13
16,26,2,20,1,1,West-Up1,2700.49,0,33,15,2,T,162622011West-Up1,4.30195E+13
16,26,2,20,1,1,West-Down1,2610.39,0,13,23,4,T,162622011West-Down1,4.30195E+13
16,26,2,20,1,1,West-Down2,0,0,0,0,0,T,162622011West-Down2,4.30195E+13
16,26,2,20,1,1,East-Up2,0,0,0,0,0,T,162622011East-Up2,4.30195E+13
16,26,2,20,1,1,East-Up1,2668.51,0,7,36,2,T,162622011East-Up1,4.30195E+13
16,26,2,20,1,1,East-Down1,2659.03,0,4,21,2,T,162622011East-Down1,4.30195E+13
16,26,2,20,1,1,East-Down2,0,0,0,0,0,T,162622011East-Down2,4.30195E+13
16,26,2,20,1,1,North-Left2,0,0,0,0,0,T,162622011North-Left2,4.30195E+13
16,26,2,20,1,1,North-Left1,2634.86,89,51,57,2,T,162622011North-Left1,4.30195E+13
16,26,2,20,1,1,North-Right1,2647.79,89,51,43,2,T,162622011North-Right1,4.30195E+13
16,26,2,20,1,1,North-Right2,0,0,0,0,0,T,162622011North-Right2,4.30195E+13
16,26,2,20,1,1,South-Left2,0,0,0,0,0,T,162622011South-Left2,4.30195E+13
16,26,2,20,1,1,South-Left1,2654.57,89,55,23,4,T,162622011South-Left1,4.30195E+13
16,26,2,20,1,1,South-Right1,2634.77,89,59,7,4,T,162622011South-Right1,4.30195E+13
16,26,2,20,1,1,South-Right2,0,0,0,0,0,T,162622011South-Right2,4.30195E+13
4,2,2,1,2,2,West-Up2,1367.27,0,21,2,4,T,422122West-Up2,4.30135E+12
4,2,2,1,2,2,West-Up1,1321.03,0,20,50,4,T,422122West-Up1,4.30135E+12
4,2,2,1,2,2,West-Down1,1321.02,0,20,34,4,T,422122West-Down1,4.30135E+12
4,2,2,1,2,2,West-Down2,1226.83,0,14,30,4,T,422122West-Down2,4.30135E+12
