Section,Township,Township Direction,Range,Range Direction,Baseline,Side,Length,Degrees,Minutes,Seconds,Alignment,North Reference,Concatenation,API
16,26,2,20,1,1,West-Up2,0,0,0,0,0,T,162622011West-Up2,4.30E+13
16,26,2,20,1,1,West-Up1,2700.49,0,33,15,2,T,162622011West-Up1,4.30E+13
16,26,2,20,1,1,West-Down1,2610.39,0,13,23,4,T,162622011West-Down1,4.30E+13
16,26,2,20,1,1,West-Down2,0,0,0,0,0,T,162622011West-Down2,4.30E+13
16,26,2,20,1,1,East-Up2,0,0,0,0,0,T,162622011East-Up2,4.30E+13
16,26,2,20,1,1,East-Up1,2668.51,0,7,36,2,T,162622011East-Up1,4.30E+13
16,26,2,20,1,1,East-Down1,2659.03,0,4,21,2,T,162622011East-Down1,4.30E+13
16,26,2,20,1,1,East-Down2,0,0,0,0,0,T,162622011East-Down2,4.30E+13
16,26,2,20,1,1,North-Left2,0,0,0,0,0,T,162622011North-Left2,4.30E+13
16,26,2,20,1,1,North-Left1,2634.86,89,51,57,2,T,162622011North-Left1,4.30E+13
16,26,2,20,1,1,North-Right1,2647.79,89,51,43,2,T,162622011North-Right1,4.30E+13
16,26,2,20,1,1,North-Right2,0,0,0,0,0,T,162622011North-Right2,4.30E+13
16,26,2,20,1,1,South-Left2,0,0,0,0,0,T,162622011South-Left2,4.30E+13
16,26,2,20,1,1,South-Left1,2654.57,89,55,23,4,T,162622011South-Left1,4.30E+13
16,26,2,20,1,1,South-Right1,2634.77,89,59,7,4,T,162622011South-Right1,4.30E+13
16,26,2,20,1,1,South-Right2,0,0,0,0,0,T,162622011South-Right2,4.30E+13
4,2,2,1,2,2,West-Up2,1367.27,0,21,2,4,T,422122West-Up2,4.30E+12
4,2,2,1,2,2,West-Up1,1321.03,0,20,50,4,T,422122West-Up1,4.30E+12
4,2,2,1,2,2,West-Down1,1321.02,0,20,34,4,T,422122West-Down1,4.30E+12
4,2,2,1,2,2,West-Down2,1226.83,0,14,30,4,T,422122West-Down2,4.30E+12
4,2,2,1,2,2,East-Up2,0,0,0,0,0,T,422122East-Up2,4.30E+12
4,2,2,1,2,2,East-Up1,2669.84,0,9,26,3,T,422122East-Up1,4.30E+12
4,2,2,1,2,2,East-Down1,1322.35,0,53,53,4,T,422122East-Down1,4.30E+12
4,2,2,1,2,2,East-Down2,1322.05,0,52,48,4,T,422122East-Down2,4.30E+12
4,2,2,1,2,2,North-Left2,1319.03,88,58,51,3,T,422122North-Left2,4.30E+12
4,2,2,1,2,2,North-Left1,1317.06,89,3,46,3,T,422122North-Left1,4.30E+12
4,2,2,1,2,2,North-Right1,1317.06,89,3,46,3,T,422122North-Right1,4.30E+12
4,2,2,1,2,2,North-Right2,1317.06,89,3,46,3,T,422122North-Right2,4.30E+12
4,2,2,1,2,2,South-Left2,0,0,0,0,0,T,422122South-Left2,4.30E+12
4,2,2,1,2,2,South-Left1,2636.77,88,48,21,4,T,422122South-Left1,4.30E+12
4,2,2,1,2,2,South-Right1,1329.3,88,35,58,3,T,422122South-Right1,4.30E+12
4,2,2,1,2,2,South-Right2,1309.06,88,34,5,3,T,422122South-Right2,4.30E+12
5,2,2,1,2,2,West-Up2,0,0,0,0,0,T,522122West-Up2,4.30E+12
5,2,2,1,2,2,West-Up1,5324.05,0,43,18,4,T,522122West-Up1,4.30E+12
5,2,2,1,2,2,West-Down1,0,0,0,0,0,T,522122West-Down1,4.30E+12
5,2,2,1,2,2,West-Down2,0,0,0,0,0,T,522122West-Down2,4.30E+12
5,2,2,1,2,2,East-Up2,1367.27,0,21,2,4,T,522122East-Up2,4.30E+12
5,2,2,1,2,2,East-Up1,1321.03,0,20,50,4,T,522122East-Up1,4.30E+12
5,2,2,1,2,2,East-Down1,1321.02,0,20,34,4,T,522122East-Down1,4.30E+12
5,2,2,1,2,2,East-Down2,1226.83,0,14,30,4,T,522122East-Down2,4.30E+12
5,2,2,1,2,2,North-Left2,0,0,0,0,0,T,522122North-Left2,4.30E+12
5,2,2,1,2,2,North-Left1,2632.57,88,52,50,3,T,522122North-Left1,4.30E+12
5,2,2,1,2,2,North-Right1,2664.73,89,1,2,3,T,522122North-Right1,4.30E+12
5,2,2,1,2,2,North-Right2,0,0,0,0,0,T,522122North-Right2,4.30E+12
5,2,2,1,2,2,South-Left2,0,0,0,0,0,T,522122South-Left2,4.30E+12
5,2,2,1,2,2,South-Left1,2639.59,89,24,39,3,T,522122South-Left1,4.30E+12
