Section,Township,Township Direction,Range,Range Direction,Baseline,Easting,Northing,API
36,7,2,20,1,1,616958.9875,4446333.067,4304755941
36,7,2,20,1,1,616958.9875,4446333.067,4304755941
36,7,2,20,1,1,617769.0235,4446341.718,4304755941
36,7,2,20,1,1,618579.0645,4446350.465,4304755941
36,7,2,20,1,1,618579.0645,4446350.465,4304755941
36,7,2,20,1,1,618579.0645,4446350.465,4304755941
36,7,2,20,1,1,618572.61,4446730.377,4304755941
36,7,2,20,1,1,618565.156,4447152.724,4304755941
36,7,2,20,1,1,618559.2286,4447554.08,4304755941
36,7,2,20,1,1,618557.2233,4447971.865,4304755941
36,7,2,20,1,1,618557.2233,4447971.865,4304755941
36,7,2,20,1,1,618557.2233,4447971.865,4304755941
36,7,2,20,1,1,617771.1106,4447989.514,4304755941
36,7,2,20,1,1,616985.8627,4448007.257,4304755941
36,7,2,20,1,1,616985.8627,4448007.257,4304755941
36,7,2,20,1,1,616985.8627,4448007.257,4304755941
36,7,2,20,1,1,616979.2074,4447588.131,4304755941
36,7,2,20,1,1,616972.5013,4447169.002,4304755941
36,7,2,20,1,1,616965.7226,4446750.917,4304755941
36,7,2,20,1,1,616958.9883,4446333.066,4304755941
18,3,2,1,2,2,580957.4373,4452077.397,4301354134
18,3,2,1,2,2,580957.4373,4452077.397,4301354134
18,3,2,1,2,2,582563.6696,4452091.352,4301354134
18,3,2,1,2,2,582563.6696,4452091.352,4301354134
18,3,2,1,2,2,582563.6696,4452091.352,4301354134
18,3,2,1,2,2,582563.6696,4452091.352,4301354134
18,3,2,1,2,2,582563.6853,4452495.221,4301354134
18,3,2,1,2,2,582563.5706,4452903.053,4301354134
18,3,2,1,2,2,582559.8231,4453714.147,4301354134
18,3,2,1,2,2,582559.8231,4453714.147,4301354134
18,3,2,1,2,2,582559.8231,4453714.147,4301354134
18,3,2,1,2,2,582559.8231,4453714.147,4301354134
18,3,2,1,2,2,581751.1458,4453711.07,4301354134
18,3,2,1,2,2,580953.816,4453690.88,4301354134
18,3,2,1,2,2,580953.816,4453690.88,4301354134
18,3,2,1,2,2,580953.816,4453690.88,4301354134
18,3,2,1,2,2,580953.816,4453690.88,4301354134
18,3,2,1,2,2,580955.1268,4452883.81,4301354134
18,3,2,1,2,2,580956.6364,4452480.471,4301354134
18,3,2,1,2,2,580957.4395,4452077.395,4301354134
22,2,2,3,2,2,566405.0759,4459921.616,4301353789
22,2,2,3,2,2,566807.8435,4459919.94,4301353789
22,2,2,3,2,2,567210.6111,4459918.265,4301353789
22,2,2,3,2,2,567613.3787,4459916.59,4301353789
22,2,2,3,2,2,568016.1463,4459914.914,4301353789
22,2,2,3,2,2,568016.1463,4459914.914,4301353789
22,2,2,3,2,2,568016.432,4460313.09,4301353789
22,2,2,3,2,2,568016.7177,4460711.265,4301353789
22,2,2,3,2,2,568028.9562,4461113.752,4301353789
22,2,2,3,2,2,568041.1947,4461516.238,4301353789
22,2,2,3,2,2,568041.1947,4461516.238,4301353789
22,2,2,3,2,2,567637.1925,4461518.066,4301353789
22,2,2,3,2,2,567233.1904,4461519.893,4301353789
22,2,2,3,2,2,566829.1882,4461521.721,4301353789
22,2,2,3,2,2,566425.186,4461523.548,4301353789
22,2,2,3,2,2,566425.186,4461523.548,4301353789
22,2,2,3,2,2,566416.1236,4461123.174,4301353789
22,2,2,3,2,2,566407.0611,4460722.8,4301353789
22,2,2,3,2,2,566406.0687,4460322.207,4301353789
22,2,2,3,2,2,566405.0763,4459921.614,4301353789
1,3,2,1,2,2,588971.3585,4455385.513,4304756176
1,3,2,1,2,2,589374.3675,4455384.857,4304756176
1,3,2,1,2,2,589777.1815,4455384.195,4304756176
1,3,2,1,2,2,590180.1054,4455383.621,4304756176
1,3,2,1,2,2,590583.0384,4455383.046,4304756176
1,3,2,1,2,2,590583.0384,4455383.046,4304756176
