Section,Township,Township Direction,Range,Range Direction,Baseline,Easting,Northing,API
9,3,2,2,2,2,574504.297,4453593.873,4301353701
9,3,2,2,2,2,574907.7282,4453597.071,4301353701
9,3,2,2,2,2,575311.1595,4453600.269,4301353701
9,3,2,2,2,2,575714.5908,4453603.467,4301353701
9,3,2,2,2,2,576118.0221,4453606.664,4301353701
9,3,2,2,2,2,576118.0221,4453606.664,4301353701
9,3,2,2,2,2,576124.8931,4454008.914,4301353701
9,3,2,2,2,2,576131.1816,4454408.847,4301353701
9,3,2,2,2,2,576137.4701,4454808.779,4301353701
9,3,2,2,2,2,576143.7585,4455208.712,4301353701
9,3,2,2,2,2,576143.7585,4455208.712,4301353701
9,3,2,2,2,2,575740.4578,4455206.792,4301353701
9,3,2,2,2,2,575337.1571,4455204.872,4301353701
9,3,2,2,2,2,574933.8564,4455202.952,4301353701
9,3,2,2,2,2,574530.5558,4455201.032,4301353701
9,3,2,2,2,2,574530.5558,4455201.032,4301353701
9,3,2,2,2,2,574523.9942,4454799.339,4301353701
9,3,2,2,2,2,574517.4326,4454397.646,4301353701
9,3,2,2,2,2,574510.871,4453995.954,4301353701
9,3,2,2,2,2,574504.3094,4453594.261,4301353701
30,2,2,2,2,2,571243.8696,4458339.2,4301354165
30,2,2,2,2,2,571243.8696,4458339.2,4301354165
30,2,2,2,2,2,572827.3743,4458320.966,4301354165
30,2,2,2,2,2,572827.3743,4458320.966,4301354165
30,2,2,2,2,2,572827.3743,4458320.966,4301354165
30,2,2,2,2,2,572827.3743,4458320.966,4301354165
30,2,2,2,2,2,572827.3743,4458320.966,4301354165
30,2,2,2,2,2,572827.3743,4458320.966,4301354165
30,2,2,2,2,2,572854.991,4459933.588,4301354165
30,2,2,2,2,2,572854.991,4459933.588,4301354165
30,2,2,2,2,2,572854.991,4459933.588,4301354165
30,2,2,2,2,2,572854.991,4459933.588,4301354165
30,2,2,2,2,2,572854.991,4459933.588,4301354165
30,2,2,2,2,2,571274.5529,4459949.595,4301354165
30,2,2,2,2,2,571274.5529,4459949.595,4301354165
30,2,2,2,2,2,571274.5529,4459949.595,4301354165
30,2,2,2,2,2,571274.5529,4459949.595,4301354165
30,2,2,2,2,2,571261.0468,4459159.364,4301354165
30,2,2,2,2,2,571250.5626,4458742.136,4301354165
30,2,2,2,2,2,571243.8654,4458339.201,4301354165
25,3,2,6,2,2,540820.1522,4448277.931,4301354101
25,3,2,6,2,2,540820.1522,4448277.931,4301354101
25,3,2,6,2,2,542388.086,4448263.093,4301354101
25,3,2,6,2,2,542388.086,4448263.093,4301354101
25,3,2,6,2,2,542388.086,4448263.093,4301354101
25,3,2,6,2,2,542388.086,4448263.093,4301354101
25,3,2,6,2,2,542388.086,4448263.093,4301354101
25,3,2,6,2,2,542388.086,4448263.093,4301354101
25,3,2,6,2,2,542389.2691,4449868.608,4301354101
25,3,2,6,2,2,542389.2691,4449868.608,4301354101
25,3,2,6,2,2,542389.2691,4449868.608,4301354101
25,3,2,6,2,2,542389.2691,4449868.608,4301354101
25,3,2,6,2,2,541589.8682,4449874.592,4301354101
25,3,2,6,2,2,540838.6719,4449881.537,4301354101
25,3,2,6,2,2,540838.6719,4449881.537,4301354101
25,3,2,6,2,2,540838.6719,4449881.537,4301354101
25,3,2,6,2,2,540834.881,4449480.56,4301354101
25,3,2,6,2,2,540830.1863,4449079.94,4301354101
25,3,2,6,2,2,540820.1464,4448277.934,4301354101
25,3,2,6,2,2,540820.1464,4448277.934,4301354101
19,3,2,2,1,2,600278.9056,4450709.902,4304756444
19,3,2,2,1,2,600686.0538,4450697.781,4304756444
19,3,2,2,1,2,601089.1713,4450685.779,4304756444
19,3,2,2,1,2,601492.8463,4450675.769,4304756444
