,FID_Bounded_groups3_1,Field3_1,POINT_X,POINT_Y
0,16,Fairy Meadows Group,-110.8500294,44.54620354
1,16,Fairy Meadows Group,-110.8501266,44.54620354
2,16,Fairy Meadows Group,-110.8502232,44.54621068
3,16,Fairy Meadows Group,-110.8503184,44.5462249
4,16,Fairy Meadows Group,-110.8504109,44.54624603
5,16,Fairy Meadows Group,-110.8505,44.54627386
6,16,Fairy Meadows Group,-110.8505845,44.54630808
7,16,Fairy Meadows Group,-110.8506637,44.54634834
8,16,Fairy Meadows Group,-110.8507367,44.54639422
9,16,Fairy Meadows Group,-110.8508027,44.54644521
10,16,Fairy Meadows Group,-110.850861,44.54650079
11,16,Fairy Meadows Group,-110.8509111,44.54656037
12,16,Fairy Meadows Group,-110.8509523,44.5466233
13,16,Fairy Meadows Group,-110.8509842,44.54668893
14,16,Fairy Meadows Group,-110.8510065,44.54675657
15,16,Fairy Meadows Group,-110.851019,44.54682548
16,16,Fairy Meadows Group,-110.8510215,44.54689494
17,16,Fairy Meadows Group,-110.851014,44.54696423
18,16,Fairy Meadows Group,-110.8509966,44.54703259
19,16,Fairy Meadows Group,-110.8509694,44.54709931
20,16,Fairy Meadows Group,-110.8448848,44.55901057
21,16,Fairy Meadows Group,-110.8448482,44.55907494
22,16,Fairy Meadows Group,-110.8448025,44.55913628
23,16,Fairy Meadows Group,-110.8447482,44.55919393
24,16,Fairy Meadows Group,-110.844686,44.55924729
25,16,Fairy Meadows Group,-110.8446164,44.55929579
26,16,Fairy Meadows Group,-110.8445402,44.55933891
27,16,Fairy Meadows Group,-110.8444582,44.55937621
28,16,Fairy Meadows Group,-110.8443712,44.55940728
29,16,Fairy Meadows Group,-110.8442803,44.55943179
30,16,Fairy Meadows Group,-110.8441863,44.55944949
31,16,Fairy Meadows Group,-110.8440903,44.55946018
32,16,Fairy Meadows Group,-110.8439932,44.55946376
33,16,Fairy Meadows Group,-110.8438961,44.55946018
34,16,Fairy Meadows Group,-110.8438001,44.55944949
35,16,Fairy Meadows Group,-110.8437061,44.55943179
36,16,Fairy Meadows Group,-110.8436152,44.55940728
37,16,Fairy Meadows Group,-110.8435282,44.55937621
38,16,Fairy Meadows Group,-110.8434462,44.55933891
39,16,Fairy Meadows Group,-110.84337,44.55929579
40,16,Fairy Meadows Group,-110.8433004,44.55924729
41,16,Fairy Meadows Group,-110.8432382,44.55919393
42,16,Fairy Meadows Group,-110.8431839,44.55913628
43,16,Fairy Meadows Group,-110.8431382,44.55907494
44,16,Fairy Meadows Group,-110.8431016,44.55901057
45,16,Fairy Meadows Group,-110.8430744,44.55894385
46,16,Fairy Meadows Group,-110.843057,44.55887549
47,16,Fairy Meadows Group,-110.8430495,44.5588062
48,16,Fairy Meadows Group,-110.843052,44.55873674
49,16,Fairy Meadows Group,-110.8430645,44.55866783
50,16,Fairy Meadows Group,-110.8430868,44.55860019
51,16,Fairy Meadows Group,-110.8431188,44.55853456
52,16,Fairy Meadows Group,-110.8492037,44.5466233
53,16,Fairy Meadows Group,-110.8492449,44.54656037
54,16,Fairy Meadows Group,-110.849295,44.54650079
55,16,Fairy Meadows Group,-110.8493533,44.54644521
56,16,Fairy Meadows Group,-110.8494193,44.54639422
57,16,Fairy Meadows Group,-110.8494923,44.54634834
58,16,Fairy Meadows Group,-110.8495715,44.54630808
59,16,Fairy Meadows Group,-110.849656,44.54627386
60,16,Fairy Meadows Group,-110.8497451,44.54624603
61,16,Fairy Meadows Group,-110.8498376,44.5462249
62,16,Fairy Meadows Group,-110.8499328,44.54621068
63,16,Fairy Meadows Group,-110.8500294,44.54620354
64,17,Fairy Springs,-110.860951,44.5425892
65,17,Fairy Springs,-110.8610482,44.5425892
66,17,Fairy Springs,-110.8611448,44.54259634
67,17,Fairy Springs,-110.8612399,44.54261056
68,17,Fairy Springs,-110.8613325,44.54263169
69,17,Fairy Springs,-110.8614215,44.54265951
