DateRun,ReportPeriod,POW,PGW,CBPGW,SOW,SGW,CBSGW,AWI,AGI,AWD,AGS,AWS,ATW,IWI,IGI,IWD,IGS,IWS,ITW,TA,PA,LA,NEWOW,NEWGW,NEWGWCB,NEWWI,NEWGI,NEWWD,NEWGS,NEWWS,NEWTW,NEWUNK,APDOW,APDGW,APDGWCB,APDWI,APDGI,APDWD,APDGS,APDWS,APDTW,APDUNK,SPUDOW,SPUDGW,SPUDGWCB,SPUDWI,SPUDGI,SPUDWD,SPUDGS,SPUDWS,SPUDTW,SPUDUNK,OPS,TOTDRILLED,TOTNONPA,TOTCAPPROD,TOTNOTCOMP,FEDPROD,FEDSI,INDPROD,INDSI,STPROD,STSI,FEEPROD,FEESI,MULTPROD,MULTISI
03/12/12,ReportPeriod,3801,6480,834,673,844,Missing,1349,1,104,63,8,7,33,3,Missing,1,1,Missing,Missing,7199,5111,153,77,4,2,0,1,3,0,0,0,952,1845,30,2,0,4,0,0,1,0,290,311,1,0,0,4,0,0,0,0,118,20755,13556,11798,723,5951,930,1625,200,1927,191,778,196,0,0
03/08/12,ReportPeriod,3792,6467,834,680,845,41,1348,1,104,63,8,7,33,3,10,0,1,6,173,7199,5111,119,77,4,2,0,1,3,0,0,0,956,1851,30,2,0,5,0,0,1,0,289,315,1,0,0,3,0,0,0,0,118,20740,13541,11784,725,5941,931,1619,205,1924,192,775,197,0,0
03/01/12,ReportPeriod,3788,6463,833,681,852,42,1347,1,104,63,8,7,33,3,10,0,1,6,171,7193,5111,113,90,4,2,0,1,3,0,0,0,941,1845,30,2,0,4,0,0,1,0,285,311,1,0,0,3,0,0,0,0,116,20731,13538,11784,715,5941,932,1616,204,1923,196,771,201,0,0
02/29/12,ReportPeriod,3788,6463,833,681,852,42,1347,1,104,63,8,7,33,3,10,0,1,6,171,7193,5111,113,90,4,2,0,1,3,0,0,0,944,1846,30,2,0,4,0,0,1,0,282,310,1,0,0,3,0,0,0,0,116,20731,13538,11784,711,5941,932,1616,204,1923,196,771,201,0,0
02/23/12,ReportPeriod,3792,6462,832,665,844,43,1347,1,104,63,8,7,33,3,10,0,1,6,167,7191,5110,121,169,4,1,0,2,3,0,0,0,941,1780,30,2,0,4,0,0,1,0,275,313,1,0,0,2,0,0,0,0,116,20704,13513,11763,706,5948,914,1616,204,1915,197,775,194,0,0
02/16/12,ReportPeriod,3804,6487,849,656,815,26,1345,1,104,63,8,7,32,3,10,0,1,6,167,7189,5105,92,170,4,1,0,2,3,0,0,0,945,1781,30,2,0,4,0,0,1,0,274,315,1,0,0,2,0,0,0,0,115,20698,13509,11762,706,5963,899,1622,198,1928,183,778,191,0,0
02/09/12,ReportPeriod,3805,6496,849,648,793,26,1346,1,103,63,8,7,32,3,10,0,1,6,165,7189,5086,92,168,4,1,0,1,3,0,0,0,951,1804,30,2,0,4,0,0,1,0,270,325,1,0,0,3,0,0,0,0,115,20676,13487,11742,713,5968,878,1621,197,1930,181,782,185,0,0
02/02/12,ReportPeriod,3806,6496,851,652,785,24,1343,1,103,63,8,7,32,3,10,0,1,6,166,7186,5079,103,117,4,1,0,3,3,0,0,0,947,1824,31,2,0,2,0,0,1,0,264,312,1,0,0,3,0,0,0,0,115,20668,13482,11739,694,5966,881,1620,197,1932,179,784,180,0,0
01/26/12,ReportPeriod,3854,6478,850,602,787,25,1338,1,102,63,8,5,32,3,11,0,1,6,168,7184,5076,85,76,4,1,0,3,3,0,0,0,954,1836,31,2,0,2,0,0,1,0,258,322,1,0,0,3,0,0,2,0,116,20643,13459,11721,701,5997,843,1616,196,1935,173,784,177,0,0
01/19/12,ReportPeriod,3837,6454,844,606,790,25,1337,1,102,63,8,5,32,3,11,0,1,6,170,7181,5071,121,75,3,1,0,3,3,0,0,0,922,1852,31,2,0,2,0,0,1,0,260,330,7,0,0,3,0,0,2,0,117,20607,13426,11687,712,5969,849,1611,197,1932,173,779,177,0,0
01/12/12,ReportPeriod,3831,6448,845,612,797,24,1337,1,102,63,8,5,32,3,11,0,1,6,170,7181,5067,142,80,3,1,0,3,3,0,0,0,905,1867,31,2,0,2,0,0,1,0,247,311,7,0,0,3,0,0,2,0,118,20608,13427,11688,681,5965,854,1608,200,1928,177,778,178,0,0
01/05/12,ReportPeriod,3779,6448,845,656,795,24,1334,1,101,63,8,5,32,3,11,0,1,6,169,7179,5059,150,79,3,1,0,2,3,0,0,0,898,1874,31,2,0,3,0,0,1,0,245,317,7,0,0,3,0,0,2,0,118,20592,13413,11679,685,5932,881,1601,205,1925,180,770,185,0,0
12/22/11,ReportPeriod,3799,6462,851,633,776,18,1336,1,101,63,8,5,28,3,11,0,1,6,168,7176,5032,156,47,3,1,0,3,3,0,0,0,884,1895,31,2,0,2,0,0,1,0,244,309,7,0,0,3,0,0,2,0,121,20578,13402,11671,679,5956,848,1605,201,1933,173,768,187,0,0
12/15/11,ReportPeriod,3766,6436,836,632,789,34,1334,1,100,63,8,5,28,3,11,0,1,6,171,7171,5005,133,57,3,1,0,3,3,0,0,0,890,1928,31,2,0,2,0,0,1,0,272,306,7,0,0,3,0,0,2,0,121,20527,13356,11625,704,5931,851,1598,202,1922,177,753,191,0,0
12/08/11,ReportPeriod,3741,6411,835,658,819,34,1331,1,101,63,8,5,28,3,11,0,1,6,170,7166,4998,154,78,3,1,0,2,3,0,0,0,870,1921,31,2,0,2,0,0,1,0,263,296,7,0,0,3,0,0,2,0,120,20524,13358,11630,684,5893,894,1593,205,1913,189,753,190,0,0
12/01/11,ReportPeriod,3734,6408,835,654,816,35,1334,1,101,63,8,5,28,3,11,0,1,6,168,7162,4990,163,67,3,1,0,2,3,0,0,0,873,1933,32,2,0,2,0,0,1,0,263,303,7,0,0,4,0,0,2,0,119,20503,13341,11612,691,5880,901,1598,200,1913,179,751,190,0,0
11/24/11,ReportPeriod,3734,6404,834,653,818,36,1334,1,101,63,8,5,28,3,11,0,1,6,167,7162,4987,173,86,3,1,0,1,3,0,0,0,838,1932,32,2,0,2,0,0,1,0,249,291,7,0,0,4,0,0,2,0,119,20499,13337,11609,665,5875,904,1598,200,1915,177,750,190,0,0
11/21/11,ReportPeriod,3735,6385,838,650,819,32,1333,1,101,63,8,5,28,3,10,0,1,6,166,7162,4987,205,146,3,1,0,1,3,0,0,0,797,1879,32,2,0,3,0,0,1,0,242,304,7,0,0,4,0,0,2,0,119,20476,13314,11589,671,5868,904,1593,203,1908,173,751,189,0,0
11/17/11,ReportPeriod,3730,6382,832,651,817,38,1333,1,101,63,8,5,28,3,10,0,1,6,167,7161,4968,185,143,3,1,0,1,3,0,0,0,803,1907,35,2,0,3,0,0,1,0,241,301,7,0,0,4,0,0,2,0,119,20467,13306,11580,667,5869,899,1592,202,1902,179,749,188,0,0
11/10/11,ReportPeriod,3730,6386,833,649,816,37,1333,1,101,63,8,5,28,3,10,0,1,6,168,7159,4961,175,137,3,1,0,1,3,0,0,0,815,1921,35,2,0,3,0,0,1,0,233,290,7,0,0,4,0,0,2,0,119,20467,13308,11581,648,5876,893,1589,205,1906,176,745,191,0,0
