Section,Township,Township Direction,Range,Range Direction,Baseline,Easting,Northing,API
27,9,S,19,E,S,604155.0109285058,4429066.887480542,4304756343
27,9,S,19,E,S,604152.8498899238,4429224.699826764,4304756343
27,9,S,19,E,S,604152.750849645,4429231.932246054,4304756343
27,9,S,19,E,S,604170.1422986515,4429242.421603541,4304756343
27,9,S,19,E,S,604226.9608346922,4429293.17703372,4304756343
27,9,S,19,E,S,604253.0269681787,4429306.681870856,4304756343
27,9,S,19,E,S,604315.0836069034,4429317.165592983,4304756343
27,9,S,19,E,S,604345.229886029,4429316.380159259,4304756343
27,9,S,19,E,S,604392.5675003972,4429310.775135049,4304756343
27,9,S,19,E,S,604565.0469175054,4429269.304374075,4304756343
27,9,S,19,E,S,604605.3811867619,4429259.607809015,4304756343
27,9,S,19,E,S,604895.0234937846,4429147.1600916935,4304756343
27,9,S,19,E,S,604976.2750501471,4429128.997604399,4304756343
27,9,S,19,E,S,605097.4338083033,4429101.916512304,4304756343
27,9,S,19,E,S,605199.4803814183,4429093.836467483,4304756343
27,9,S,19,E,S,605338.032155305,4429075.312629367,4304756343
27,9,S,19,E,S,605371.3974100436,4429099.8541833125,4304756343
27,9,S,19,E,S,605388.0225129337,4429105.18016016,4304756343
27,9,S,19,E,S,605415.4245168902,4429113.992674108,4304756343
27,9,S,19,E,S,605494.4827801842,4429118.066240808,4304756343
27,9,S,19,E,S,605507.3987694797,4429118.744967214,4304756343
27,9,S,19,E,S,605552.2204369144,4429153.118003708,4304756343
27,9,S,19,E,S,605602.304235503,4429171.857795482,4304756343
27,9,S,19,E,S,605689.5385708018,4429234.4370829305,4304756343
27,9,S,19,E,S,605734.4285570504,4429301.8628804535,4304756343
27,9,S,19,E,S,605735.7214428685,4429300.36215058,4304756343
27,9,S,19,E,S,605740.9885474188,4429294.24066406,4304756343
27,9,S,19,E,S,605797.3917167017,4429228.66277888,4304756343
27,9,S,19,E,S,605798.7926248162,4429127.95044663,4304756343
27,9,S,19,E,S,605804.5146810517,4428723.319997523,4304756343
27,9,S,19,E,S,605810.2354835848,4428318.749728913,4304756343
27,9,S,19,E,S,605404.63547103,4428307.901794628,4304756343
27,9,S,19,E,S,604999.0432901506,4428297.095599617,4304756343
27,9,S,19,E,S,604593.442419954,4428286.290949583,4304756343
27,9,S,19,E,S,604187.8408460717,4428275.527920762,4304756343
27,9,S,19,E,S,604171.4325336993,4428671.318690976,4304756343
27,9,S,19,E,S,604155.0109285058,4429066.887480542,4304756343
