Section,Township,Township Direction,Range,Range Direction,Baseline,Easting,Northing,Latitude,Longitude,Conc,Version
27,9,2,19,1,1,604155.0109285058,4429066.887480542,40.00537519080899,-109.77973099998503,2709S19ES,AGRC V.1
27,9,2,19,1,1,604152.8498899238,4429224.699826764,40.00679699080918,-109.77973099998502,2709S19ES,AGRC V.1
27,9,2,19,1,1,604152.750849645,4429231.932246054,40.0068621508092,-109.77973099998502,2709S19ES,AGRC V.1
27,9,2,19,1,1,604170.1422986515,4429242.421603541,40.0069544908096,-109.779525599985,2709S19ES,AGRC V.1
27,9,2,19,1,1,604226.9608346922,4429293.17703372,40.00740467081101,-109.778851899985,2709S19ES,AGRC V.1
27,9,2,19,1,1,604253.0269681787,4429306.681870856,40.00752310081164,-109.77854439998498,2709S19ES,AGRC V.1
27,9,2,19,1,1,604315.0836069034,4429317.165592983,40.007609870813106,-109.77781579998492,2709S19ES,AGRC V.1
27,9,2,19,1,1,604345.229886029,4429316.380159259,40.00759907081382,-109.7774627999849,2709S19ES,AGRC V.1
27,9,2,19,1,1,604392.5675003972,4429310.775135049,40.00754273081493,-109.77690919998486,2709S19ES,AGRC V.1
27,9,2,19,1,1,604565.0469175054,4429269.304374075,40.00714783081892,-109.77489549998478,2709S19ES,AGRC V.1
27,9,2,19,1,1,604605.3811867619,4429259.607809015,40.00705549081989,-109.77442459998475,2709S19ES,AGRC V.1
27,9,2,19,1,1,604895.0234937846,4429147.1600916935,40.00600666082663,-109.77104999998458,2709S19ES,AGRC V.1
27,9,2,19,1,1,604976.2750501471,4429128.997604399,40.00583296082856,-109.77010119998452,2709S19ES,AGRC V.1
27,9,2,19,1,1,605097.4338083033,4429101.916512304,40.00557395083147,-109.76868639998447,2709S19ES,AGRC V.1
27,9,2,19,1,1,605199.4803814183,4429093.836467483,40.00548846083393,-109.76749239998439,2709S19ES,AGRC V.1
27,9,2,19,1,1,605338.032155305,4429075.312629367,40.0053043308373,-109.76587249998433,2709S19ES,AGRC V.1
27,9,2,19,1,1,605371.3974100436,4429099.8541833125,40.005521230838156,-109.7654776999843,2709S19ES,AGRC V.1
27,9,2,19,1,1,605388.0225129337,4429105.18016016,40.00556713083858,-109.76528209998428,2709S19ES,AGRC V.1
27,9,2,19,1,1,605415.4245168902,4429113.992674108,40.005643090839264,-109.76495969998427,2709S19ES,AGRC V.1
27,9,2,19,1,1,605494.4827801842,4429118.066240808,40.00566991084124,-109.76403299998421,2709S19ES,AGRC V.1
27,9,2,19,1,1,605507.3987694797,4429118.744967214,40.00567441084155,-109.76388159998422,2709S19ES,AGRC V.1
27,9,2,19,1,1,605552.2204369144,4429153.118003708,40.00597843084271,-109.76335099998417,2709S19ES,AGRC V.1
27,9,2,19,1,1,605602.304235503,4429171.857795482,40.006140970844,-109.76276129998413,2709S19ES,AGRC V.1
27,9,2,19,1,1,605689.5385708018,4429234.4370829305,40.006693750846246,-109.7617292999841,2709S19ES,AGRC V.1
27,9,2,19,1,1,605734.4285570504,4429301.8628804535,40.00729548084751,-109.76119249998406,2709S19ES,AGRC V.1
27,9,2,19,1,1,605735.7214428685,4429300.36215058,40.00728180084754,-109.76117759998407,2709S19ES,AGRC V.1
