,Section,Township,Township Direction,Range,Range Direction,Baseline,Side,Length,Degrees,Minutes,Seconds,Alignment,North Reference,Concatenation
0,1,7,2,19,1,1,West-Up2,1401.165,2,24,4.0,1,G,1721911West-Up2
1,1,7,2,19,1,1,West-Up1,1401.165,2,24,4.0,1,G,1721911West-Up1
2,1,7,2,19,1,1,West-Down1,1368.595,2,24,25.0,1,G,1721911West-Down1
3,1,7,2,19,1,1,West-Down2,1368.595,2,24,25.0,1,G,1721911West-Down2
4,1,7,2,19,1,1,East-Up2,1387.21,1,47,26.0,1,G,1721911East-Up2
5,1,7,2,19,1,1,East-Up1,1387.21,1,47,26.0,1,G,1721911East-Up1
6,1,7,2,19,1,1,East-Down1,1342.0,1,18,36.0,1,G,1721911East-Down1
7,1,7,2,19,1,1,East-Down2,1342.0,1,18,36.0,1,G,1721911East-Down2
8,1,7,2,19,1,1,North-Left2,1343.945,88,50,57.0,2,G,1721911North-Left2
9,1,7,2,19,1,1,North-Left1,1343.945,88,50,57.0,2,G,1721911North-Left1
10,1,7,2,19,1,1,North-Right1,1343.9,88,52,3.0,2,G,1721911North-Right1
11,1,7,2,19,1,1,North-Right2,1344.08,88,51,9.0,2,G,1721911North-Right2
12,1,7,2,19,1,1,South-Left2,1326.06,88,0,35.0,3,G,1721911South-Left2
13,1,7,2,19,1,1,South-Left1,1326.74,87,58,16.0,3,G,1721911South-Left1
14,1,7,2,19,1,1,South-Right1,1325.35,88,1,7.0,3,G,1721911South-Right1
15,1,7,2,19,1,1,South-Right2,1315.62,87,57,25.0,3,G,1721911South-Right2
16,1,2,2,3,2,2,West-Up2,1332.97,0,15,37.0,2,T,122322West-Up2
17,1,2,2,3,2,2,West-Up1,1332.97,0,15,37.0,2,T,122322West-Up1
18,1,2,2,3,2,2,West-Down1,1332.97,0,15,37.0,2,T,122322West-Down1
19,1,2,2,3,2,2,West-Down2,1332.97,0,15,37.0,2,T,122322West-Down2
20,1,2,2,3,2,2,East-Up2,1306.69,0,4,25.0,4,T,122322East-Up2
21,1,2,2,3,2,2,East-Up1,1313.37,0,5,13.0,4,T,122322East-Up1
22,1,2,2,3,2,2,East-Down1,1313.43,0,4,11.0,4,T,122322East-Down1
23,1,2,2,3,2,2,East-Down2,1313.18,0,4,25.0,4,T,122322East-Down2
24,1,2,2,3,2,2,North-Left2,1309.07,89,46,47.0,4,T,122322North-Left2
25,1,2,2,3,2,2,North-Left1,1313.24,89,50,29.0,3,T,122322North-Left1
26,1,2,2,3,2,2,North-Right1,1320.43,89,48,18.0,4,T,122322North-Right1
27,1,2,2,3,2,2,North-Right2,1320.77,89,47,13.0,4,T,122322North-Right2
28,1,2,2,3,2,2,South-Left2,1311.17,89,50,10.0,3,T,122322South-Left2
29,1,2,2,3,2,2,South-Left1,1335.22,88,26,15.0,3,T,122322South-Left1
30,1,2,2,3,2,2,South-Right1,1336.09,88,25,40.0,3,T,122322South-Right1
31,1,2,2,3,2,2,South-Right2,1313.17,89,53,36.0,4,T,122322South-Right2
32,1,3,2,2,2,2,West-Up2,1321.985,1,7,1.0,4,T,132222West-Up2
33,1,3,2,2,2,2,West-Up1,1321.985,1,7,1.0,4,T,132222West-Up1
34,1,3,2,2,2,2,West-Down1,1321.985,1,7,1.0,4,T,132222West-Down1
35,1,3,2,2,2,2,West-Down2,1321.985,1,7,1.0,4,T,132222West-Down2
36,1,3,2,2,2,2,East-Up2,1322.35,0,54,41.0,4,T,132222East-Up2
37,1,3,2,2,2,2,East-Up1,1322.35,0,54,41.0,4,T,132222East-Up1
