Section,Township,Township Direction,Range,Range Direction,Baseline,Easting,Northing,API
35.0,2.0,2.0,1.0,2.0,2.0,587357.0397,4456967.427,4304756639.0
35.0,2.0,2.0,1.0,2.0,2.0,587759.8709,4456975.031,4304756639.0
35.0,2.0,2.0,1.0,2.0,2.0,588162.702,4456982.635,4304756639.0
35.0,2.0,2.0,1.0,2.0,2.0,588565.5306,4456990.295,4304756639.0
35.0,2.0,2.0,1.0,2.0,2.0,588968.3592,4456997.956,4304756639.0
35.0,2.0,2.0,1.0,2.0,2.0,588968.3592,4456997.956,4304756639.0
35.0,2.0,2.0,1.0,2.0,2.0,588956.4501,4457407.178,4304756639.0
35.0,2.0,2.0,1.0,2.0,2.0,588944.5409,4457816.4,4304756639.0
35.0,2.0,2.0,1.0,2.0,2.0,588936.7722,4458224.508,4304756639.0
35.0,2.0,2.0,1.0,2.0,2.0,588931.1963,4458614.877,4304756639.0
35.0,2.0,2.0,1.0,2.0,2.0,588931.1963,4458614.877,4304756639.0
35.0,2.0,2.0,1.0,2.0,2.0,588529.8706,4458605.176,4304756639.0
35.0,2.0,2.0,1.0,2.0,2.0,588128.5449,4458595.475,4304756639.0
35.0,2.0,2.0,1.0,2.0,2.0,587727.6516,4458585.989,4304756639.0
35.0,2.0,2.0,1.0,2.0,2.0,587326.7582,4458576.502,4304756639.0
35.0,2.0,2.0,1.0,2.0,2.0,587326.7582,4458576.502,4304756639.0
35.0,2.0,2.0,1.0,2.0,2.0,587334.0535,4458173.667,4304756639.0
35.0,2.0,2.0,1.0,2.0,2.0,587341.3487,4457770.831,4304756639.0
35.0,2.0,2.0,1.0,2.0,2.0,587349.18,4457368.764,4304756639.0
35.0,2.0,2.0,1.0,2.0,2.0,587357.0399,4456967.425,4304756639.0
30.0,3.0,2.0,2.0,1.0,2.0,600305.5591,4449075.016,4304756483.0
30.0,3.0,2.0,2.0,1.0,2.0,600716.2349,4449067.969,4304756483.0
30.0,3.0,2.0,2.0,1.0,2.0,601117.6766,4449061.081,4304756483.0
30.0,3.0,2.0,2.0,1.0,2.0,601519.1184,4449054.192,4304756483.0
30.0,3.0,2.0,2.0,1.0,2.0,601922.8171,4449052.025,4304756483.0
30.0,3.0,2.0,2.0,1.0,2.0,601922.8171,4449052.025,4304756483.0
30.0,3.0,2.0,2.0,1.0,2.0,601917.6068,4449463.14,4304756483.0
30.0,3.0,2.0,2.0,1.0,2.0,601922.4994,4449858.103,4304756483.0
30.0,3.0,2.0,2.0,1.0,2.0,601922.1078,4450259.967,4304756483.0
30.0,3.0,2.0,2.0,1.0,2.0,601922.9566,4450650.728,4304756483.0
30.0,3.0,2.0,2.0,1.0,2.0,601922.9566,4450650.728,4304756483.0
30.0,3.0,2.0,2.0,1.0,2.0,601519.7754,4450670.361,4304756483.0
30.0,3.0,2.0,2.0,1.0,2.0,601115.985,4450672.996,4304756483.0
30.0,3.0,2.0,2.0,1.0,2.0,600712.6575,4450677.347,4304756483.0
30.0,3.0,2.0,2.0,1.0,2.0,600305.4085,4450681.841,4304756483.0
30.0,3.0,2.0,2.0,1.0,2.0,600305.4085,4450681.841,4304756483.0
30.0,3.0,2.0,2.0,1.0,2.0,600303.6114,4450279.357,4304756483.0
30.0,3.0,2.0,2.0,1.0,2.0,600303.0158,4449876.582,4304756483.0
30.0,3.0,2.0,2.0,1.0,2.0,600300.6737,4449473.68,4304756483.0
30.0,3.0,2.0,2.0,1.0,2.0,600305.5551,4449075.257,4304756483.0
14.0,4.0,2.0,1.0,2.0,2.0,587466.7795,4442457.384,4301354066.0
14.0,4.0,2.0,1.0,2.0,2.0,587466.7795,4442457.384,4301354066.0
14.0,4.0,2.0,1.0,2.0,2.0,588275.2879,4442456.071,4301354066.0
14.0,4.0,2.0,1.0,2.0,2.0,589079.533,4442455.564,4301354066.0
14.0,4.0,2.0,1.0,2.0,2.0,589079.533,4442455.564,4301354066.0
14.0,4.0,2.0,1.0,2.0,2.0,589079.533,4442455.564,4301354066.0
14.0,4.0,2.0,1.0,2.0,2.0,589079.533,4442455.564,4301354066.0
14.0,4.0,2.0,1.0,2.0,2.0,589079.6188,4443260.111,4301354066.0
14.0,4.0,2.0,1.0,2.0,2.0,589083.7318,4444070.393,4301354066.0
14.0,4.0,2.0,1.0,2.0,2.0,589083.7318,4444070.393,4301354066.0
14.0,4.0,2.0,1.0,2.0,2.0,589083.7318,4444070.393,4301354066.0
14.0,4.0,2.0,1.0,2.0,2.0,589083.7318,4444070.393,4301354066.0
14.0,4.0,2.0,1.0,2.0,2.0,588275.4294,4444064.554,4301354066.0
14.0,4.0,2.0,1.0,2.0,2.0,587470.447,4444069.061,4301354066.0
