Section,Township,Township Direction,Range,Range Direction,Baseline,Easting,Northing,API
16.0,3.0,2.0,1.0,1.0,2.0,593818.5969,4452180.638,4304756723.0
16.0,3.0,2.0,1.0,1.0,2.0,593818.5969,4452180.638,4304756723.0
16.0,3.0,2.0,1.0,1.0,2.0,594624.2609,4452195.427,4304756723.0
16.0,3.0,2.0,1.0,1.0,2.0,595438.9912,4452210.383,4304756723.0
16.0,3.0,2.0,1.0,1.0,2.0,595438.9912,4452210.383,4304756723.0
16.0,3.0,2.0,1.0,1.0,2.0,595438.9912,4452210.383,4304756723.0
16.0,3.0,2.0,1.0,1.0,2.0,595438.9912,4452210.383,4304756723.0
16.0,3.0,2.0,1.0,1.0,2.0,595431.1995,4453017.569,4304756723.0
16.0,3.0,2.0,1.0,1.0,2.0,595423.2002,4453822.018,4304756723.0
16.0,3.0,2.0,1.0,1.0,2.0,595423.2002,4453822.018,4304756723.0
16.0,3.0,2.0,1.0,1.0,2.0,595423.2002,4453822.018,4304756723.0
16.0,3.0,2.0,1.0,1.0,2.0,595423.2002,4453822.018,4304756723.0
16.0,3.0,2.0,1.0,1.0,2.0,594592.8672,4453805.789,4304756723.0
16.0,3.0,2.0,1.0,1.0,2.0,593788.6405,4453790.113,4304756723.0
16.0,3.0,2.0,1.0,1.0,2.0,593788.6405,4453790.113,4304756723.0
16.0,3.0,2.0,1.0,1.0,2.0,593788.6405,4453790.113,4304756723.0
16.0,3.0,2.0,1.0,1.0,2.0,593788.6405,4453790.113,4304756723.0
16.0,3.0,2.0,1.0,1.0,2.0,593803.6291,4452986.148,4304756723.0
16.0,3.0,2.0,1.0,1.0,2.0,593818.5956,4452180.636,4304756723.0
16.0,3.0,2.0,1.0,1.0,2.0,593818.5956,4452180.636,4304756723.0
4.0,2.0,2.0,1.0,2.0,2.0,584055.4447,4464995.341,4301353972.0
4.0,2.0,2.0,1.0,2.0,2.0,584055.4447,4464995.341,4301353972.0
4.0,2.0,2.0,1.0,2.0,2.0,584859.1255,4464992.056,4301353972.0
4.0,2.0,2.0,1.0,2.0,2.0,585263.9523,4465008.744,4301353972.0
4.0,2.0,2.0,1.0,2.0,2.0,585662.6062,4465025.397,4301353972.0
4.0,2.0,2.0,1.0,2.0,2.0,585662.6062,4465025.397,4301353972.0
4.0,2.0,2.0,1.0,2.0,2.0,585649.6677,4465428.15,4301353972.0
4.0,2.0,2.0,1.0,2.0,2.0,585636.5993,4465830.99,4301353972.0
4.0,2.0,2.0,1.0,2.0,2.0,585625.1979,4466644.677,4301353972.0
4.0,2.0,2.0,1.0,2.0,2.0,585625.1979,4466644.677,4301353972.0
4.0,2.0,2.0,1.0,2.0,2.0,585625.1979,4466644.677,4301353972.0
4.0,2.0,2.0,1.0,2.0,2.0,585223.9781,4466631.387,4301353972.0
4.0,2.0,2.0,1.0,2.0,2.0,584822.7582,4466618.097,4301353972.0
4.0,2.0,2.0,1.0,2.0,2.0,584421.5384,4466604.806,4301353972.0
4.0,2.0,2.0,1.0,2.0,2.0,584019.7379,4466590.921,4301353972.0
4.0,2.0,2.0,1.0,2.0,2.0,584019.7379,4466590.921,4301353972.0
4.0,2.0,2.0,1.0,2.0,2.0,584029.2695,4466174.287,4301353972.0
4.0,2.0,2.0,1.0,2.0,2.0,584038.4553,4465771.741,4301353972.0
4.0,2.0,2.0,1.0,2.0,2.0,584047.6098,4465369.199,4301353972.0
4.0,2.0,2.0,1.0,2.0,2.0,584055.4518,4464995.343,4301353972.0
30.0,2.0,2.0,2.0,2.0,2.0,571262.4515,4458331.226,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,571262.4515,4458331.226,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,572845.7901,4458360.53,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,572845.7901,4458360.53,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,572845.7901,4458360.53,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,572845.7901,4458360.53,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,572845.7901,4458360.53,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,572845.7901,4458360.53,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,572824.9911,4459973.254,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,572824.9911,4459973.254,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,572824.9911,4459973.254,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,572824.9911,4459973.254,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,572824.9911,4459973.254,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,571244.7848,4459941.817,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,571244.7848,4459941.817,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,571244.7848,4459941.817,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,571244.7848,4459941.817,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,571255.0036,4459151.536,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,571257.0473,4458734.182,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,571262.4473,4458331.227,4301354171.0
11.0,2.0,2.0,2.0,2.0,2.0,577629.083,4463226.077,4301353984.0
11.0,2.0,2.0,2.0,2.0,2.0,578032.3275,4463234.583,4301353984.0
11.0,2.0,2.0,2.0,2.0,2.0,578435.572,4463243.088,4301353984.0
11.0,2.0,2.0,2.0,2.0,2.0,578838.1733,4463251.299,4301353984.0
11.0,2.0,2.0,2.0,2.0,2.0,579240.7746,4463259.509,4301353984.0
11.0,2.0,2.0,2.0,2.0,2.0,579240.7746,4463259.509,4301353984.0
11.0,2.0,2.0,2.0,2.0,2.0,579233.665,4463677.383,4301353984.0
11.0,2.0,2.0,2.0,2.0,2.0,579226.9127,4464074.256,4301353984.0
11.0,2.0,2.0,2.0,2.0,2.0,579220.1604,4464471.129,4301353984.0
11.0,2.0,2.0,2.0,2.0,2.0,579213.4081,4464868.002,4301353984.0
11.0,2.0,2.0,2.0,2.0,2.0,579213.4081,4464868.002,4301353984.0
11.0,2.0,2.0,2.0,2.0,2.0,578811.0279,4464862.93,4301353984.0
11.0,2.0,2.0,2.0,2.0,2.0,578408.6476,4464857.857,4301353984.0
11.0,2.0,2.0,2.0,2.0,2.0,578005.7782,4464850.024,4301353984.0
11.0,2.0,2.0,2.0,2.0,2.0,577602.9087,4464842.191,4301353984.0
11.0,2.0,2.0,2.0,2.0,2.0,577602.9087,4464842.191,4301353984.0
11.0,2.0,2.0,2.0,2.0,2.0,577609.7624,4464440.047,4301353984.0
11.0,2.0,2.0,2.0,2.0,2.0,577616.6161,4464037.904,4301353984.0
11.0,2.0,2.0,2.0,2.0,2.0,577622.8667,4463631.989,4301353984.0
11.0,2.0,2.0,2.0,2.0,2.0,577629.1174,4463226.074,4301353984.0
1.0,3.0,2.0,2.0,2.0,2.0,579355.1686,4455237.794,4301353824.0
1.0,3.0,2.0,2.0,2.0,2.0,579756.5978,4455251.658,4301353824.0
1.0,3.0,2.0,2.0,2.0,2.0,580155.7903,4455266.154,4301353824.0
1.0,3.0,2.0,2.0,2.0,2.0,580959.9389,4455294.833,4301353824.0
