Section,Township,Township Direction,Range,Range Direction,Baseline,Easting,Northing,API
32.0,2.0,2.0,3.0,2.0,2.0,563218.925,4456644.727,4301354148.0
32.0,2.0,2.0,3.0,2.0,2.0,563622.8462,4456650.782,4301354148.0
32.0,2.0,2.0,3.0,2.0,2.0,564024.6346,4456657.363,4301354148.0
32.0,2.0,2.0,3.0,2.0,2.0,564428.1119,4456663.934,4301354148.0
32.0,2.0,2.0,3.0,2.0,2.0,564830.934,4456670.68,4301354148.0
32.0,2.0,2.0,3.0,2.0,2.0,564830.934,4456670.68,4301354148.0
32.0,2.0,2.0,3.0,2.0,2.0,564822.7018,4457474.255,4301354148.0
32.0,2.0,2.0,3.0,2.0,2.0,564822.7018,4457474.255,4301354148.0
32.0,2.0,2.0,3.0,2.0,2.0,564809.3433,4458277.731,4301354148.0
32.0,2.0,2.0,3.0,2.0,2.0,564809.3433,4458277.731,4301354148.0
32.0,2.0,2.0,3.0,2.0,2.0,564809.3433,4458277.731,4301354148.0
32.0,2.0,2.0,3.0,2.0,2.0,564809.3433,4458277.731,4301354148.0
32.0,2.0,2.0,3.0,2.0,2.0,564809.3433,4458277.731,4301354148.0
32.0,2.0,2.0,3.0,2.0,2.0,563202.2449,4458257.753,4301354148.0
32.0,2.0,2.0,3.0,2.0,2.0,563202.2449,4458257.753,4301354148.0
32.0,2.0,2.0,3.0,2.0,2.0,563202.2449,4458257.753,4301354148.0
32.0,2.0,2.0,3.0,2.0,2.0,563206.3881,4457854.469,4301354148.0
32.0,2.0,2.0,3.0,2.0,2.0,563210.5953,4457451.225,4301354148.0
32.0,2.0,2.0,3.0,2.0,2.0,563214.7695,4457047.972,4301354148.0
32.0,2.0,2.0,3.0,2.0,2.0,563218.9298,4456644.728,4301354148.0
2.0,3.0,2.0,2.0,2.0,2.0,577779.4827,4455232.283,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,577779.4827,4455232.283,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,578590.6112,4455248.121,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,578993.7975,4455256.42,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,579397.9009,4455264.447,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,579397.9009,4455264.447,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,579397.9009,4455264.447,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,579381.879,4456064.326,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,579373.8217,4456466.581,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,579365.6387,4456875.806,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,579365.6387,4456875.806,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,578963.4846,4456868.026,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,578561.1236,4456860.23,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,578158.099,4456854.342,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,577755.1235,4456848.444,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,577755.1235,4456848.444,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,577761.3694,4456434.892,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,577767.4248,4456034.596,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,577779.4761,4455232.282,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,577779.4761,4455232.282,4301354006.0
29.0,2.0,2.0,3.0,2.0,2.0,563204.6824,4458255.955,4301354086.0
29.0,2.0,2.0,3.0,2.0,2.0,563204.6824,4458255.955,4301354086.0
29.0,2.0,2.0,3.0,2.0,2.0,564811.6905,4458278.169,4301354086.0
29.0,2.0,2.0,3.0,2.0,2.0,564811.6905,4458278.169,4301354086.0
29.0,2.0,2.0,3.0,2.0,2.0,564811.6905,4458278.169,4301354086.0
29.0,2.0,2.0,3.0,2.0,2.0,564811.6905,4458278.169,4301354086.0
29.0,2.0,2.0,3.0,2.0,2.0,564811.6905,4458278.169,4301354086.0
29.0,2.0,2.0,3.0,2.0,2.0,564811.6905,4458278.169,4301354086.0
29.0,2.0,2.0,3.0,2.0,2.0,564794.3992,4459894.138,4301354086.0
29.0,2.0,2.0,3.0,2.0,2.0,564794.3992,4459894.138,4301354086.0
29.0,2.0,2.0,3.0,2.0,2.0,564794.3992,4459894.138,4301354086.0
29.0,2.0,2.0,3.0,2.0,2.0,564794.3992,4459894.138,4301354086.0
29.0,2.0,2.0,3.0,2.0,2.0,564794.3992,4459894.138,4301354086.0
29.0,2.0,2.0,3.0,2.0,2.0,563197.4172,4459871.049,4301354086.0
29.0,2.0,2.0,3.0,2.0,2.0,563197.4172,4459871.049,4301354086.0
29.0,2.0,2.0,3.0,2.0,2.0,563197.4172,4459871.049,4301354086.0
