Section,Township,Township Direction,Range,Range Direction,Baseline,Easting,Northing,API
19,2,2,2,2,2,571250.5346,4459950.981,4301353899
19,2,2,2,2,2,571250.5346,4459950.981,4301353899
19,2,2,2,2,2,572831.0348,4459958.697,4301353899
19,2,2,2,2,2,572831.0348,4459958.697,4301353899
19,2,2,2,2,2,572831.0348,4459958.697,4301353899
19,2,2,2,2,2,572831.0348,4459958.697,4301353899
19,2,2,2,2,2,572831.0348,4459958.697,4301353899
19,2,2,2,2,2,572832.9786,4460760.553,4301353899
19,2,2,2,2,2,572836.9256,4461563.442,4301353899
19,2,2,2,2,2,572836.9256,4461563.442,4301353899
19,2,2,2,2,2,572836.9256,4461563.442,4301353899
19,2,2,2,2,2,572836.9256,4461563.442,4301353899
19,2,2,2,2,2,572030.1751,4461561.157,4301353899
19,2,2,2,2,2,571254.9502,4461561.92,4301353899
19,2,2,2,2,2,571254.9502,4461561.92,4301353899
19,2,2,2,2,2,571254.9502,4461561.92,4301353899
19,2,2,2,2,2,571254.9502,4461561.92,4301353899
19,2,2,2,2,2,571251.1349,4460756.447,4301353899
19,2,2,2,2,2,571250.5413,4459950.976,4301353899
19,2,2,2,2,2,571250.5413,4459950.976,4301353899
26,7,2,20,1,1,615257.9211,4447957.557,4304754774
26,7,2,20,1,1,615662.778,4447910.64,4304754774
26,7,2,20,1,1,616100.075,4447903.936,4304754774
26,7,2,20,1,1,616907.6555,4447988.97,4304754774
26,7,2,20,1,1,616907.6555,4447988.97,4304754774
26,7,2,20,1,1,616907.6555,4447988.97,4304754774
26,7,2,20,1,1,616907.6555,4447988.97,4304754774
26,7,2,20,1,1,616885.5178,4448813.3,4304754774
26,7,2,20,1,1,616891.4808,4449590.265,4304754774
26,7,2,20,1,1,616891.4808,4449590.265,4304754774
26,7,2,20,1,1,616891.4808,4449590.265,4304754774
26,7,2,20,1,1,616891.4808,4449590.265,4304754774
26,7,2,20,1,1,616070.1169,4449602.857,4304754774
26,7,2,20,1,1,615248.2022,4449609.551,4304754774
26,7,2,20,1,1,615248.2022,4449609.551,4304754774
26,7,2,20,1,1,615248.2022,4449609.551,4304754774
26,7,2,20,1,1,615248.2022,4449609.551,4304754774
26,7,2,20,1,1,615253.6293,4448782.824,4304754774
26,7,2,20,1,1,615257.9224,4447957.558,4304754774
26,7,2,20,1,1,615257.9224,4447957.558,4304754774
22,2,2,3,2,2,566405.0759,4459921.616,4301353789
22,2,2,3,2,2,566807.8435,4459919.94,4301353789
22,2,2,3,2,2,567210.6111,4459918.265,4301353789
22,2,2,3,2,2,567613.3787,4459916.59,4301353789
22,2,2,3,2,2,568016.1463,4459914.914,4301353789
22,2,2,3,2,2,568016.1463,4459914.914,4301353789
22,2,2,3,2,2,568016.432,4460313.09,4301353789
22,2,2,3,2,2,568016.7177,4460711.265,4301353789
22,2,2,3,2,2,568028.9562,4461113.752,4301353789
22,2,2,3,2,2,568041.1947,4461516.238,4301353789
22,2,2,3,2,2,568041.1947,4461516.238,4301353789
22,2,2,3,2,2,567637.1925,4461518.066,4301353789
22,2,2,3,2,2,567233.1904,4461519.893,4301353789
22,2,2,3,2,2,566829.1882,4461521.721,4301353789
22,2,2,3,2,2,566425.186,4461523.548,4301353789
22,2,2,3,2,2,566425.186,4461523.548,4301353789
22,2,2,3,2,2,566416.1236,4461123.174,4301353789
22,2,2,3,2,2,566407.0611,4460722.8,4301353789
22,2,2,3,2,2,566406.0687,4460322.207,4301353789
22,2,2,3,2,2,566405.0763,4459921.614,4301353789
22,2,2,3,2,2,566405.0759,4459921.616,4301353789
22,2,2,3,2,2,566807.8435,4459919.94,4301353789
22,2,2,3,2,2,567210.6111,4459918.265,4301353789
22,2,2,3,2,2,567613.3787,4459916.59,4301353789
22,2,2,3,2,2,568016.1463,4459914.914,4301353789
22,2,2,3,2,2,568016.1463,4459914.914,4301353789
22,2,2,3,2,2,568016.432,4460313.09,4301353789
22,2,2,3,2,2,568016.7177,4460711.265,4301353789
22,2,2,3,2,2,568028.9562,4461113.752,4301353789
22,2,2,3,2,2,568041.1947,4461516.238,4301353789
22,2,2,3,2,2,568041.1947,4461516.238,4301353789
22,2,2,3,2,2,567637.1925,4461518.066,4301353789
22,2,2,3,2,2,567233.1904,4461519.893,4301353789
22,2,2,3,2,2,566829.1882,4461521.721,4301353789
22,2,2,3,2,2,566425.186,4461523.548,4301353789
22,2,2,3,2,2,566425.186,4461523.548,4301353789
22,2,2,3,2,2,566416.1236,4461123.174,4301353789
22,2,2,3,2,2,566407.0611,4460722.8,4301353789
22,2,2,3,2,2,566406.0687,4460322.207,4301353789
22,2,2,3,2,2,566405.0763,4459921.614,4301353789
22,2,2,3,2,2,566405.0759,4459921.616,4301353789
22,2,2,3,2,2,566807.8435,4459919.94,4301353789
22,2,2,3,2,2,567210.6111,4459918.265,4301353789
22,2,2,3,2,2,567613.3787,4459916.59,4301353789
22,2,2,3,2,2,568016.1463,4459914.914,4301353789
22,2,2,3,2,2,568016.1463,4459914.914,4301353789
22,2,2,3,2,2,568016.432,4460313.09,4301353789
22,2,2,3,2,2,568016.7177,4460711.265,4301353789
22,2,2,3,2,2,568028.9562,4461113.752,4301353789
22,2,2,3,2,2,568041.1947,4461516.238,4301353789
22,2,2,3,2,2,568041.1947,4461516.238,4301353789
22,2,2,3,2,2,567637.1925,4461518.066,4301353789
22,2,2,3,2,2,567233.1904,4461519.893,4301353789
22,2,2,3,2,2,566829.1882,4461521.721,4301353789
22,2,2,3,2,2,566425.186,4461523.548,4301353789
22,2,2,3,2,2,566425.186,4461523.548,4301353789
22,2,2,3,2,2,566416.1236,4461123.174,4301353789
22,2,2,3,2,2,566407.0611,4460722.8,4301353789
22,2,2,3,2,2,566406.0687,4460322.207,4301353789
22,2,2,3,2,2,566405.0763,4459921.614,4301353789
31,3,2,2,1,2,600321.6966,4447452.415,4304756485
31,3,2,2,1,2,600729.063,4447448.07,4304756485
31,3,2,2,1,2,601132.1799,4447443.16,4304756485
31,3,2,2,1,2,601535.6078,4447439.399,4304756485
31,3,2,2,1,2,601940.5065,4447435.169,4304756485
31,3,2,2,1,2,601940.5065,4447435.169,4304756485
31,3,2,2,1,2,601939.6577,4447838.561,4304756485
31,3,2,2,1,2,601940.3743,4448241.314,4304756485
31,3,2,2,1,2,601943.3332,4448644.426,4304756485
31,3,2,2,1,2,601944.3107,4449047.657,4304756485
31,3,2,2,1,2,601944.3107,4449047.657,4304756485
31,3,2,2,1,2,601540.6119,4449049.823,4304756485
31,3,2,2,1,2,601139.1702,4449056.712,4304756485
31,3,2,2,1,2,600737.7284,4449063.6,4304756485
31,3,2,2,1,2,600327.0526,4449070.647,4304756485
31,3,2,2,1,2,600327.0526,4449070.647,4304756485
31,3,2,2,1,2,600320.7884,4448661.922,4304756485
31,3,2,2,1,2,600321.3299,4448258.708,4304756485
31,3,2,2,1,2,600323.0884,4447854.791,4304756485
31,3,2,2,1,2,600321.7308,4447452.442,4304756485
31,2,2,2,2,2,571266.5558,4456725.873,4301354117
31,2,2,2,2,2,571643.1263,4456727.561,4301354117
31,2,2,2,2,2,572045.7834,4456729.359,4301354117
31,2,2,2,2,2,572448.4405,4456731.157,4301354117
31,2,2,2,2,2,572851.0976,4456732.955,4301354117
31,2,2,2,2,2,572851.0976,4456732.955,4301354117
31,2,2,2,2,2,572851.0976,4456732.955,4301354117
31,2,2,2,2,2,572850.8549,4457527.493,4301354117
31,2,2,2,2,2,572850.4333,4458340.272,4301354117
31,2,2,2,2,2,572850.4333,4458340.272,4301354117
31,2,2,2,2,2,572850.4333,4458340.272,4301354117
31,2,2,2,2,2,572850.4333,4458340.272,4301354117
31,2,2,2,2,2,572850.4333,4458340.272,4301354117
31,2,2,2,2,2,571266.8332,4458334.737,4301354117
31,2,2,2,2,2,571266.8332,4458334.737,4301354117
31,2,2,2,2,2,571266.8332,4458334.737,4301354117
31,2,2,2,2,2,571266.8332,4458334.737,4301354117
31,2,2,2,2,2,571267.3551,4457531.424,4301354117
31,2,2,2,2,2,571266.6638,4456725.875,4301354117
31,2,2,2,2,2,571266.6638,4456725.875,4301354117
12,3,2,5,2,2,550349.4078,4453167.912,4301353928
12,3,2,5,2,2,550349.4078,4453167.912,4301353928
12,3,2,5,2,2,551144.9383,4453172.914,4301353928
12,3,2,5,2,2,551949.5061,4453176.874,4301353928
12,3,2,5,2,2,551949.5061,4453176.874,4301353928
12,3,2,5,2,2,551949.5061,4453176.874,4301353928
12,3,2,5,2,2,551949.5061,4453176.874,4301353928
12,3,2,5,2,2,551950.8651,4453984.675,4301353928
12,3,2,5,2,2,551957.6353,4454786.758,4301353928
12,3,2,5,2,2,551957.6353,4454786.758,4301353928
12,3,2,5,2,2,551957.6353,4454786.758,4301353928
12,3,2,5,2,2,551957.6353,4454786.758,4301353928
12,3,2,5,2,2,551158.8596,4454785.213,4301353928
12,3,2,5,2,2,550356.9783,4454786.908,4301353928
12,3,2,5,2,2,550356.9783,4454786.908,4301353928
12,3,2,5,2,2,550356.9783,4454786.908,4301353928
12,3,2,5,2,2,550356.9783,4454786.908,4301353928
12,3,2,5,2,2,550356.1201,4453978.533,4301353928
12,3,2,5,2,2,550349.4035,4453167.911,4301353928
12,3,2,5,2,2,550349.4035,4453167.911,4301353928
8,2,2,3,2,2,563168.563,4463110.752,4301353878
8,2,2,3,2,2,563570.96,4463110.765,4301353878
8,2,2,3,2,2,563975.0976,4463112.264,4301353878
8,2,2,3,2,2,564375.696,4463110.007,4301353878
8,2,2,3,2,2,564776.2944,4463107.751,4301353878
8,2,2,3,2,2,564776.2944,4463107.751,4301353878
8,2,2,3,2,2,564777.5527,4463508.894,4301353878
8,2,2,3,2,2,564778.811,4463910.038,4301353878
8,2,2,3,2,2,564781.5139,4464309.12,4301353878
8,2,2,3,2,2,564784.2169,4464708.203,4301353878
8,2,2,3,2,2,564784.2169,4464708.203,4301353878
8,2,2,3,2,2,564383.1345,4464709.043,4301353878
8,2,2,3,2,2,563982.0521,4464709.883,4301353878
8,2,2,3,2,2,563580.9697,4464710.723,4301353878
8,2,2,3,2,2,563179.8873,4464711.563,4301353878
8,2,2,3,2,2,563179.8873,4464711.563,4301353878
8,2,2,3,2,2,563178.0602,4464312.755,4301353878
8,2,2,3,2,2,563176.233,4463913.946,4301353878
8,2,2,3,2,2,563172.4012,4463512.348,4301353878
8,2,2,3,2,2,563168.5694,4463110.749,4301353878
25,3,2,5,2,2,550373.5724,4448349.34,4301353969
25,3,2,5,2,2,550775.1189,4448349.552,4301353969
