Section,Township,Township Direction,Range,Range Direction,Baseline,Easting,Northing,API
19.0,2.0,2.0,2.0,2.0,2.0,571250.5346,4459950.981,4301353899.0
19.0,2.0,2.0,2.0,2.0,2.0,571250.5346,4459950.981,4301353899.0
19.0,2.0,2.0,2.0,2.0,2.0,572831.0348,4459958.697,4301353899.0
19.0,2.0,2.0,2.0,2.0,2.0,572831.0348,4459958.697,4301353899.0
19.0,2.0,2.0,2.0,2.0,2.0,572831.0348,4459958.697,4301353899.0
19.0,2.0,2.0,2.0,2.0,2.0,572831.0348,4459958.697,4301353899.0
19.0,2.0,2.0,2.0,2.0,2.0,572831.0348,4459958.697,4301353899.0
19.0,2.0,2.0,2.0,2.0,2.0,572832.9786,4460760.553,4301353899.0
19.0,2.0,2.0,2.0,2.0,2.0,572836.9256,4461563.442,4301353899.0
19.0,2.0,2.0,2.0,2.0,2.0,572836.9256,4461563.442,4301353899.0
19.0,2.0,2.0,2.0,2.0,2.0,572836.9256,4461563.442,4301353899.0
19.0,2.0,2.0,2.0,2.0,2.0,572836.9256,4461563.442,4301353899.0
19.0,2.0,2.0,2.0,2.0,2.0,572030.1751,4461561.157,4301353899.0
19.0,2.0,2.0,2.0,2.0,2.0,571254.9502,4461561.92,4301353899.0
19.0,2.0,2.0,2.0,2.0,2.0,571254.9502,4461561.92,4301353899.0
19.0,2.0,2.0,2.0,2.0,2.0,571254.9502,4461561.92,4301353899.0
19.0,2.0,2.0,2.0,2.0,2.0,571254.9502,4461561.92,4301353899.0
19.0,2.0,2.0,2.0,2.0,2.0,571251.1349,4460756.447,4301353899.0
19.0,2.0,2.0,2.0,2.0,2.0,571250.5413,4459950.976,4301353899.0
19.0,2.0,2.0,2.0,2.0,2.0,571250.5413,4459950.976,4301353899.0
26.0,7.0,2.0,20.0,1.0,1.0,615257.9211,4447957.557,4304754774.0
26.0,7.0,2.0,20.0,1.0,1.0,615662.778,4447910.64,4304754774.0
26.0,7.0,2.0,20.0,1.0,1.0,616100.075,4447903.936,4304754774.0
26.0,7.0,2.0,20.0,1.0,1.0,616907.6555,4447988.97,4304754774.0
26.0,7.0,2.0,20.0,1.0,1.0,616907.6555,4447988.97,4304754774.0
26.0,7.0,2.0,20.0,1.0,1.0,616907.6555,4447988.97,4304754774.0
26.0,7.0,2.0,20.0,1.0,1.0,616907.6555,4447988.97,4304754774.0
26.0,7.0,2.0,20.0,1.0,1.0,616885.5178,4448813.3,4304754774.0
26.0,7.0,2.0,20.0,1.0,1.0,616891.4808,4449590.265,4304754774.0
26.0,7.0,2.0,20.0,1.0,1.0,616891.4808,4449590.265,4304754774.0
26.0,7.0,2.0,20.0,1.0,1.0,616891.4808,4449590.265,4304754774.0
26.0,7.0,2.0,20.0,1.0,1.0,616891.4808,4449590.265,4304754774.0
26.0,7.0,2.0,20.0,1.0,1.0,616070.1169,4449602.857,4304754774.0
26.0,7.0,2.0,20.0,1.0,1.0,615248.2022,4449609.551,4304754774.0
26.0,7.0,2.0,20.0,1.0,1.0,615248.2022,4449609.551,4304754774.0
26.0,7.0,2.0,20.0,1.0,1.0,615248.2022,4449609.551,4304754774.0
26.0,7.0,2.0,20.0,1.0,1.0,615248.2022,4449609.551,4304754774.0
26.0,7.0,2.0,20.0,1.0,1.0,615253.6293,4448782.824,4304754774.0
